TM_KEY_MTH,TM_KEY_WK,CENTER,METRIC_GRP,COMP_CD,PRODUCT_GRP,METRIC_CD,METRIC_NAME,DIMENSION_KPI_FLAG,BG_FLAG,AGG_TYPE,RR_IND,GRY_IND,UOM,PERIOD,ACTUAL_AGG,TARGET_AGG,PPN_TM
202303,2023009,Digitalization,Digitalization,TRUE,All Services,DIS10015,% After-Sales Service via Digital Channels,N,N,N,0,GYR,%,M,13.96,20.0,2023-05-31 13:48:22
202303,2023012,Digitalization,Digitalization,TRUE,All Services,DIS10015,% After-Sales Service via Digital Channels,N,N,N,0,GYR,%,M,15.55,20.0,2023-05-31 13:48:22
202304,2023013,Digitalization,Digitalization,TRUE,All Services,DIS10015,% After-Sales Service via Digital Channels,N,N,N,0,GYR,%,M,14.2,20.0,2023-05-31 13:48:22
202304,2023014,Digitalization,Digitalization,TRUE,All Services,DIS10015,% After-Sales Service via Digital Channels,N,N,N,0,GYR,%,M,14.15,20.0,2023-05-31 13:48:22
202304,2023014,Digitalization,Digitalization,TRUE,Postpaid,DIS10017,% After-Sales Service via Digital Channels : TMH Postpaid,N,N,N,0,GYR,%,M,,,2023-05-31 13:48:22
202304,2023015,Digitalization,Digitalization,TRUE,Postpaid,DIS10017,% After-Sales Service via Digital Channels : TMH Postpaid,N,N,N,0,GYR,%,M,,,2023-05-31 13:48:22
202303,2023009,Digitalization,Digitalization,TRUE,Prepaid,DIS10016,% After-Sales Service via Digital Channels : TMH Prepaid,N,N,N,0,GYR,%,M,,,2023-05-31 13:48:22
202303,2023010,Digitalization,Digitalization,TRUE,Prepaid,DIS10016,% After-Sales Service via Digital Channels : TMH Prepaid,N,N,N,0,GYR,%,M,,,2023-05-31 13:48:22
202304,2023013,Digitalization,Digitalization,TRUE,Prepaid,DIS10016,% After-Sales Service via Digital Channels : TMH Prepaid,N,N,N,0,GYR,%,M,,,2023-05-31 13:48:22
202305,2023020,Digitalization,Digitalization,TRUE,Prepaid,DIS10016,% After-Sales Service via Digital Channels : TMH Prepaid,N,N,N,0,GYR,%,M,,,2023-05-31 13:48:22
202303,2023010,Digitalization,Digitalization,TRUE,TOL,DIS10018,% After-Sales Service via Digital Channels : TrueOnline,N,N,N,0,GYR,%,M,,,2023-05-31 13:48:22
202304,2023014,Digitalization,Digitalization,TRUE,TOL,DIS10018,% After-Sales Service via Digital Channels : TrueOnline,N,N,N,0,GYR,%,M,,,2023-05-31 13:48:22
202305,2023021,Digitalization,Digitalization,TRUE,TOL,DIS10018,% After-Sales Service via Digital Channels : TrueOnline,N,N,N,0,GYR,%,M,,,2023-05-31 13:48:22
202305,2023021,Digitalization,Digitalization,TRUE,TVS,DIS10019,% After-Sales Service via Digital Channels : TrueVisions,N,N,N,0,GYR,%,M,,,2023-05-31 13:48:22
202303,2023013,Network Experience,Network,TRUE,Mobile,TNEC10008,% Blackcell : TMH,N,N,A,0,RYG,%,M,2.08,0.9,2023-05-31 13:48:22
202303,2023009,Digitalization,Digitalization,TRUE,All Services,DIS10011,% Payment via Digital Channels,Y,N,N,0,GYR,%,M,87.01,92.0,2023-05-31 13:48:22
202303,2023011,Digitalization,Digitalization,TRUE,Postpaid,DIS10012,% Payment via Digital Channels : TMH Postpaid,N,N,N,0,GYR,%,M,,,2023-05-31 13:48:22
202303,2023013,Digitalization,Digitalization,TRUE,Postpaid,DIS10012,% Payment via Digital Channels : TMH Postpaid,N,N,N,0,GYR,%,M,,,2023-05-31 13:48:22
202304,2023014,Digitalization,Digitalization,TRUE,TVS,DIS10014,% Payment via Digital Channels : TrueVisions,N,N,N,0,GYR,%,M,,,2023-05-31 13:48:22
202305,2023019,Digitalization,Digitalization,TRUE,TVS,DIS10014,% Payment via Digital Channels : TrueVisions,N,N,N,0,GYR,%,M,,,2023-05-31 13:48:22
202305,2023019,Network Experience,Network,TRUE,TOL,TNEC20002,% Poor Online Network Experience : TOL,Y,N,A,0,RYG,%,M,5.1,4.0,2023-05-31 13:48:22
202303,2023010,Network Experience,Network,TRUE,TOL,TNEC20003,% Preventive within SLA with No Complaint : TOL,N,N,A,0,GYR,%,M,98.12,98.0,2023-05-31 13:48:22
202305,2023019,Network Experience,Network,TRUE,TOL,TNEC20003,% Preventive within SLA with No Complaint : TOL,N,N,A,0,GYR,%,M,97.37,98.0,2023-05-31 13:48:22
202305,2023020,Network Experience,Network,TRUE,TOL,TNEC20003,% Preventive within SLA with No Complaint : TOL,N,N,A,0,GYR,%,M,97.4,98.0,2023-05-31 13:48:22
202305,2023020,Network Experience,Network,TRUE,Mobile,TNEC10002,% Problematic Cell : TMH,Y,N,A,0,RYG,%,M,1.87,1.0,2023-05-31 13:48:22
202303,2023009,Digitalization,Digitalization,TRUE,All Services,DIS10007,% Sales via Digital Channels,Y,N,N,0,GYR,%,M,0.81,5.0,2023-05-31 13:48:22
202304,2023017,Digitalization,Digitalization,TRUE,Postpaid,DIS10008,% Sales via Digital Channels : TMH Postpaid,N,N,N,0,GYR,%,M,,,2023-05-31 13:48:22
202305,2023020,Digitalization,Digitalization,TRUE,Postpaid,DIS10008,% Sales via Digital Channels : TMH Postpaid,N,N,N,0,GYR,%,M,,,2023-05-31 13:48:22
202303,2023009,Digitalization,Digitalization,TRUE,TOL,DIS10009,% Sales via Digital Channels : TrueOnline,N,N,N,0,GYR,%,M,,,2023-05-31 13:48:22
202304,2023013,Digitalization,Digitalization,TRUE,TOL,DIS10009,% Sales via Digital Channels : TrueOnline,N,N,N,0,GYR,%,M,,,2023-05-31 13:48:22
202303,2023010,Digitalization,Digitalization,TRUE,Postpaid,DIS10023,% TMH Postpaid Subs on True iService (Bills & Usage),N,N,N,0,GYR,%,M,,,2023-05-31 13:48:22
202303,2023011,Digitalization,Digitalization,TRUE,Postpaid,DIS10023,% TMH Postpaid Subs on True iService (Bills & Usage),N,N,N,0,GYR,%,M,,,2023-05-31 13:48:22
202305,2023018,Digitalization,Digitalization,TRUE,Prepaid,DIS10022,% TMH Prepaid Subs on True iService (Bills & Usage),N,N,N,0,GYR,%,M,,,2023-05-31 13:48:22
202304,2023013,Digitalization,Digitalization,TRUE,TOL,DIS10024,% TOL Subs on True iService (Bills & Usage),N,N,N,0,GYR,%,M,,,2023-05-31 13:48:22
202304,2023016,Digitalization,Digitalization,TRUE,TOL,DIS10024,% TOL Subs on True iService (Bills & Usage),N,N,N,0,GYR,%,M,,,2023-05-31 13:48:22
202303,2023012,Digitalization,Digitalization,TRUE,TVS,DIS10025,% TVS Subs on True iService (Bills & Usage),N,N,N,0,GYR,%,M,,,2023-05-31 13:48:22
202304,2023017,Digitalization,Digitalization,TRUE,TVS,DIS10025,% TVS Subs on True iService (Bills & Usage),N,N,N,0,GYR,%,M,,,2023-05-31 13:48:22
202305,2023021,Digitalization,Digitalization,TRUE,All Services,DIS10021,% True Subs on True iService (Bills & Usage),N,N,N,0,GYR,%,M,12.69,90.0,2023-05-31 13:48:22
