TM_KEY_MTH,TM_KEY_WK,CENTER,METRIC_GRP,COMP_CD,PRODUCT_GRP,METRIC_CD,METRIC_NAME,DIMENSION_KPI_FLAG,BG_FLAG,AGG_TYPE,RR_IND,GRY_IND,UOM,PERIOD,ACTUAL_AGG,TARGET_AGG,PPN_TM
202303,2023010,Sales & Revenue,Revenue,DTAC,Postpaid,DB2R020304,Postpaid Revenue E1/SIP : DTAC,N,N,S,0,GYR,baht,M,0.0,,2023-06-13 08:49:22
202304,2023013,Sales & Revenue,Revenue,DTAC,Postpaid,DB2R020304,Postpaid Revenue E1/SIP : DTAC,N,N,S,0,GYR,baht,M,0.0,,2023-06-13 08:49:22
202305,2023019,Sales & Revenue,Revenue,DTAC,Postpaid,DB2R020304,Postpaid Revenue E1/SIP : DTAC,N,N,S,0,GYR,baht,M,0.0,,2023-06-13 08:49:22
202304,2023013,Sales & Revenue,Revenue,ALL,Postpaid,B2R020303,Postpaid Revenue M2M/IOT,N,N,S,0,GYR,baht,M,0.0,,2023-06-13 08:49:22
202306,2023022,Sales & Revenue,Revenue,ALL,Postpaid,B2R020303,Postpaid Revenue M2M/IOT,N,N,S,0,GYR,baht,M,0.0,,2023-06-13 08:49:22
202305,2023022,Sales & Revenue,Revenue,DTAC,Postpaid,DB2R020303,Postpaid Revenue M2M/IOT : DTAC,N,N,S,0,GYR,baht,M,0.0,,2023-06-13 08:49:22
202303,2023009,Sales & Revenue,Revenue,TRUE,Postpaid,TB2R020303,Postpaid Revenue M2M/IOT : TMH,N,N,S,0,GYR,baht,M,0.0,,2023-06-13 08:49:22
202305,2023019,Sales & Revenue,Revenue,TRUE,Postpaid,TB2R020303,Postpaid Revenue M2M/IOT : TMH,N,N,S,0,GYR,baht,M,0.0,,2023-06-13 08:49:22
202303,2023013,Sales & Revenue,Revenue,ALL,Postpaid,B2R020301,Postpaid Revenue Messaging,N,N,S,0,GYR,baht,M,0.0,,2023-06-13 08:49:22
202304,2023013,Sales & Revenue,Revenue,ALL,Postpaid,B2R020301,Postpaid Revenue Messaging,N,N,S,0,GYR,baht,M,0.0,,2023-06-13 08:49:22
202304,2023016,Sales & Revenue,Revenue,ALL,Postpaid,B2R020301,Postpaid Revenue Messaging,N,N,S,0,GYR,baht,M,0.0,,2023-06-13 08:49:22
202305,2023020,Sales & Revenue,Revenue,DTAC,Postpaid,DB2R020301,Postpaid Revenue Messaging : DTAC,N,N,S,0,GYR,baht,M,0.0,,2023-06-13 08:49:22
202305,2023019,Sales & Revenue,Revenue,TRUE,Postpaid,TB2R020301,Postpaid Revenue Messaging : TMH,N,N,S,0,GYR,baht,M,0.0,,2023-06-13 08:49:22
202305,2023021,Sales & Revenue,Revenue,TRUE,Postpaid,TB2R020301,Postpaid Revenue Messaging : TMH,N,N,S,0,GYR,baht,M,0.0,,2023-06-13 08:49:22
202304,2023016,Sales & Revenue,Revenue,ALL,Postpaid,B2R020302,Postpaid Revenue Mobility,N,N,S,0,GYR,baht,M,0.0,,2023-06-13 08:49:22
202303,2023012,Sales & Revenue,Revenue,DTAC,Postpaid,DB2R020302,Postpaid Revenue Mobility : DTAC,N,N,S,0,GYR,baht,M,0.0,,2023-06-13 08:49:22
202305,2023019,Sales & Revenue,Revenue,TRUE,Postpaid,TB2R020302,Postpaid Revenue Mobility : TMH,N,N,S,0,GYR,baht,M,0.0,,2023-06-13 08:49:22
202305,2023022,Sales & Revenue,Revenue,TRUE,Postpaid,TB2R020302,Postpaid Revenue Mobility : TMH,N,N,S,0,GYR,baht,M,0.0,,2023-06-13 08:49:22
202303,2023010,Sales & Revenue,Revenue,ALL,Postpaid,B2R020307,Postpaid Revenue Other,N,N,S,0,GYR,baht,M,0.0,,2023-06-13 08:49:22
202305,2023018,Sales & Revenue,Revenue,ALL,Postpaid,B2R020307,Postpaid Revenue Other,N,N,S,0,GYR,baht,M,0.0,,2023-06-13 08:49:22
202304,2023013,Sales & Revenue,Revenue,DTAC,Postpaid,DB2R020307,Postpaid Revenue Other : DTAC,N,N,S,0,GYR,baht,M,0.0,,2023-06-13 08:49:22
202305,2023022,Sales & Revenue,Revenue,DTAC,Postpaid,DB2R020307,Postpaid Revenue Other : DTAC,N,N,S,0,GYR,baht,M,0.0,,2023-06-13 08:49:22
202304,2023014,Sales & Revenue,Revenue,TRUE,Postpaid,TB2R020307,Postpaid Revenue Other : TMH,N,N,S,0,GYR,baht,M,0.0,,2023-06-13 08:49:22
202304,2023014,Sales & Revenue,Revenue,DTAC,Postpaid,DB2R020308,Postpaid Revenue Vertical : DTAC,N,N,S,0,GYR,baht,M,0.0,,2023-06-13 08:49:22
202304,2023016,Sales & Revenue,Revenue,DTAC,Postpaid,DB2R020308,Postpaid Revenue Vertical : DTAC,N,N,S,0,GYR,baht,M,0.0,,2023-06-13 08:49:22
202306,2023022,Sales & Revenue,Revenue,DTAC,Postpaid,DB2R020308,Postpaid Revenue Vertical : DTAC,N,N,S,0,GYR,baht,M,0.0,,2023-06-13 08:49:22
202304,2023014,Sales & Revenue,Revenue,TRUE,Postpaid,TB2R020308,Postpaid Revenue Vertical : TMH,N,N,S,0,GYR,baht,M,0.0,,2023-06-13 08:49:22
202304,2023015,Sales & Revenue,Revenue,TRUE,Postpaid,TB2R020308,Postpaid Revenue Vertical : TMH,N,N,S,0,GYR,baht,M,0.0,,2023-06-13 08:49:22
202305,2023022,Sales & Revenue,Revenue,TRUE,Postpaid,TB2R020308,Postpaid Revenue Vertical : TMH,N,N,S,0,GYR,baht,M,0.0,,2023-06-13 08:49:22
202303,2023010,Customer Service Experience & Retention,Retention & Churn,TRUE,Postpaid,TSER11201,Postpaid Save Rate : TMH,N,N,N,0,GYR,%,M,75.69,90.0,2023-06-13 08:49:22
