Areas & Category,TMH-MB MKS,AIS-MB MKS,DTAC-MB MKS,TOT-MB MKS,Total Market Size,TMH-MB Total Customer,AIS-MB Total Customer,DTAC-MB Total Customer,TOT-MB Total Customer,System,AREA_META,Category,Metric,Area_type
"Thailand, Female",29.45,47.74,22.81,0.01,33600000,10900000,16600000,7420000,2000,Android,Thailand,Female,Gender,Nationwide
"Thailand, Male",30.47,46.35,23.18,0.01,32700000,10800000,15700000,7410000,2000,Android,Thailand,Male,Gender,Nationwide
"Thailand, 13-17",36.83,45.46,17.7,0,2870000,1060000,1440000,611000,0,iOS,Thailand,13-17,Age,Nationwide
"Thailand, 18-24",37.29,44.28,18.42,0,10500000,3710000,4740000,2680000,160,iOS,Thailand,18-24,Age,Nationwide
"Thailand, 25-34",37.02,45.87,17.1,0,21700000,7360000,10000000,5110000,770,iOS,Thailand,25-34,Age,Nationwide
"Thailand, 35-44",35.03,47.22,17.75,0,13300000,4370000,6500000,2820000,620,iOS,Thailand,35-44,Age,Nationwide
"Thailand, 45-54",31.18,50.1,18.72,0,8860000,2670000,4650000,1770000,840,iOS,Thailand,45-54,Age,Nationwide
"Thailand, 55-64",28.58,52.69,18.74,0,5770000,1610000,3130000,1140000,1100,iOS,Thailand,55-64,Age,Nationwide
"Thailand, 65+",29.96,50.92,19.12,0,3480000,989000,1840000,726000,660,iOS,Thailand,65+,Age,Nationwide
"Thailand, All",35.68,46.5,17.82,0,66600000,21800000,32400000,14900000,4100,iOS,Thailand,All,All,Nationwide
"Thailand, 2G",44.85,33.94,21.21,0,19000,9800,4900,4600,0,iOS,Thailand,2G,Connection,Nationwide
"Thailand, 3G",33.36,51.01,15.63,0,1070000,248000,639000,213000,250,iOS,Thailand,3G,Connection,Nationwide
"Thailand, 4G",32.75,47.71,19.54,0,35900000,10700000,17600000,8870000,3300,iOS,Thailand,4G,Connection,Nationwide
"Thailand, 5G",37.6,46.28,16.12,0,19000000,7350000,9160000,3410000,210,iOS,Thailand,5G,Connection,Nationwide
"Thailand, Price unknown",42.8,38.22,18.98,0,2250000,810000,1000000,512000,,iOS,Thailand,Price unknown,Device,Nationwide
"Thailand, $1,000 or more",34.83,47.9,17.26,0,13800000,4900000,6790000,2470000,,iOS,Thailand,"$1,000 or more",Device,Nationwide
"Thailand, Less than $100",0,0,0,0,2960000,856000,1500000,644000,,iOS,Thailand,Less than $100,Device,Nationwide
"Thailand, $100 - $149",0,0,0,0,9360000,2740000,4610000,2160000,,iOS,Thailand,$100 - $149,Device,Nationwide
"Thailand, $150 - $199",0,0,0,0,8190000,2450000,3870000,2000000,,iOS,Thailand,$150 - $199,Device,Nationwide
"Thailand, $200 - $249",0,0,0,0,5790000,1780000,2630000,1480000,,iOS,Thailand,$200 - $249,Device,Nationwide
"Thailand, $250 - $299",41.44,40.77,17.78,0,5180000,1530000,2460000,1270000,,iOS,Thailand,$250 - $299,Device,Nationwide
"Thailand, $300 - $399",39.95,40.66,19.39,0,6820000,2190000,3170000,1590000,,iOS,Thailand,$300 - $399,Device,Nationwide
"Thailand, $400 - $599",42.86,37.85,19.29,0,7780000,2710000,3600000,1650000,,iOS,Thailand,$400 - $599,Device,Nationwide
"Thailand, $600 - $999",35.87,46.31,17.82,0,9330000,3430000,4450000,1790000,,iOS,Thailand,$600 - $999,Device,Nationwide
"Thailand, Female",35.26,46.9,17.84,0,33600000,10900000,16600000,7420000,2000,iOS,Thailand,Female,Gender,Nationwide
"Thailand, Male",36.26,46,17.74,0,32700000,10800000,15700000,7410000,2000,iOS,Thailand,Male,Gender,Nationwide
"Changwat Chai Nat, 13-17",37.19,50.2,12.61,0,11000,4700,6100,1600,0,All OS,Changwat Chai Nat,13-17,Age,Province
"Changwat Chai Nat, 18-24",38.36,46.81,14.83,0,31000,13000,16000,5100,0,All OS,Changwat Chai Nat,18-24,Age,Province
"Changwat Chai Nat, 25-34",37.59,49.03,13.38,0,67000,26000,34000,9300,0,All OS,Changwat Chai Nat,25-34,Age,Province
"Changwat Chai Nat, 35-44",35.03,52.19,12.78,0,43000,15000,22000,5500,0,All OS,Changwat Chai Nat,35-44,Age,Province
"Changwat Chai Nat, 45-54",30.87,55.07,14.06,0,30000,9600,17000,4200,0,All OS,Changwat Chai Nat,45-54,Age,Province
