Areas & Category,TMH-MB MKS,AIS-MB MKS,DTAC-MB MKS,TOT-MB MKS,Total Market Size,TMH-MB Total Customer,AIS-MB Total Customer,DTAC-MB Total Customer,TOT-MB Total Customer,System,AREA_META,Category,Metric,Area_type
"Changwat Phra Nakhon Si Ayutthaya, 25-34",31.56,52.13,16.32,0,296000,97000,161000,50000,0,All OS,Changwat Phra Nakhon Si Ayutthaya,25-34,Age,Province
"Changwat Phra Nakhon Si Ayutthaya, 35-44",29.15,55.5,15.34,0,202000,60000,116000,32000,0,All OS,Changwat Phra Nakhon Si Ayutthaya,35-44,Age,Province
"Changwat Phra Nakhon Si Ayutthaya, 45-54",25.36,59.39,15.24,0,125000,32000,75000,20000,0,All OS,Changwat Phra Nakhon Si Ayutthaya,45-54,Age,Province
"Changwat Phra Nakhon Si Ayutthaya, 55-64",23.92,59.53,16.39,0.16,72000,17000,45000,13000,0,All OS,Changwat Phra Nakhon Si Ayutthaya,55-64,Age,Province
"Changwat Phra Nakhon Si Ayutthaya, 65+",23.5,59.49,17.01,0,40000,8900,24000,6900,0,All OS,Changwat Phra Nakhon Si Ayutthaya,65+,Age,Province
"Changwat Phrae, 13-17",36.56,49.1,14.34,0,12000,4800,6600,2000,0,All OS,Changwat Phrae,13-17,Age,Province
"Changwat Phrae, 18-24",36.61,47.73,15.67,0,35000,14000,19000,6000,0,All OS,Changwat Phrae,18-24,Age,Province
"Changwat Phrae, 25-34",35.71,48.81,15.49,0,72000,27000,38000,11000,0,All OS,Changwat Phrae,25-34,Age,Province
"Changwat Phrae, 35-44",35.25,50.68,14.07,0,53000,19000,28000,8200,0,All OS,Changwat Phrae,35-44,Age,Province
"Changwat Phrae, 45-54",30.99,54.8,14.21,0,42000,13000,24000,6200,0,All OS,Changwat Phrae,45-54,Age,Province
"Changwat Phrae, 55-64",24.87,59.29,15.84,0,39000,9600,24000,6400,0,All OS,Changwat Phrae,55-64,Age,Province
"Changwat Phrae, 65+",26.43,58.57,15,0,24000,6600,14000,3600,0,All OS,Changwat Phrae,65+,Age,Province
"Changwat Chon Buri, 13-17",39.03,39.79,21.18,0,77000,33000,35000,18000,0,All OS,Changwat Chon Buri,13-17,Age,Province
"Changwat Chon Buri, 18-24",35.49,43.83,20.68,0,403000,151000,187000,89000,0,All OS,Changwat Chon Buri,18-24,Age,Province
"Changwat Chon Buri, 25-34",33.83,47.3,18.87,0,913000,321000,448000,179000,0,All OS,Changwat Chon Buri,25-34,Age,Province
"Changwat Chon Buri, 35-44",31.9,49.58,18.52,0,584000,192000,299000,112000,0,All OS,Changwat Chon Buri,35-44,Age,Province
"Changwat Chon Buri, 45-54",29.4,51.54,19.07,0,332000,100000,175000,66000,0,All OS,Changwat Chon Buri,45-54,Age,Province
"Changwat Chon Buri, 55-64",27.6,50.63,21.78,0,166000,47000,86000,37000,0,All OS,Changwat Chon Buri,55-64,Age,Province
"Changwat Chon Buri, 65+",27.11,50.05,22.83,0,91000,25000,46000,21000,0,All OS,Changwat Chon Buri,65+,Age,Province
"Changwat Buri Ram, 13-17",37.74,51.33,10.92,0,64000,26000,37000,7800,0,All OS,Changwat Buri Ram,13-17,Age,Province
"Changwat Buri Ram, 18-24",39.42,48.1,12.48,0,151000,67000,80000,20000,0,All OS,Changwat Buri Ram,18-24,Age,Province
"Changwat Buri Ram, 25-34",37.93,50.26,11.81,0,268000,107000,140000,34000,0,All OS,Changwat Buri Ram,25-34,Age,Province
"Changwat Buri Ram, 35-44",35.31,51.67,13.02,0,158000,57000,85000,22000,0,All OS,Changwat Buri Ram,35-44,Age,Province
"Changwat Buri Ram, 45-54",31.08,57.16,11.77,0,124000,40000,73000,15000,0,All OS,Changwat Buri Ram,45-54,Age,Province
"Changwat Buri Ram, 55-64",26.87,62.33,10.8,0,89000,24000,57000,9700,0,All OS,Changwat Buri Ram,55-64,Age,Province
"Changwat Buri Ram, 65+",28.92,60.54,10.55,0,48000,14000,30000,5200,0,All OS,Changwat Buri Ram,65+,Age,Province
"Changwat Nong Bua Lam Phu, 13-17",27.74,64.31,7.95,0,20000,6200,14000,1800,0,All OS,Changwat Nong Bua Lam Phu,13-17,Age,Province
"Changwat Nong Bua Lam Phu, 18-24",30.32,61.58,8.11,0,44000,14000,28000,3700,0,All OS,Changwat Nong Bua Lam Phu,18-24,Age,Province
"Changwat Nong Bua Lam Phu, 25-34",27.89,64.9,7.22,0,84000,24000,56000,6300,0,All OS,Changwat Nong Bua Lam Phu,25-34,Age,Province
"Changwat Nong Bua Lam Phu, 35-44",25.52,67.06,7.43,0,51000,13000,36000,3900,0,All OS,Changwat Nong Bua Lam Phu,35-44,Age,Province
"Changwat Nong Bua Lam Phu, 45-54",22.04,72.24,5.72,0,45000,10000,33000,2700,0,All OS,Changwat Nong Bua Lam Phu,45-54,Age,Province
"Changwat Nong Bua Lam Phu, 55-64",19.03,75.85,5.12,0,33000,6300,26000,1700,0,All OS,Changwat Nong Bua Lam Phu,55-64,Age,Province
"Changwat Nong Bua Lam Phu, 65+",17.99,76.91,5.1,0,19000,3400,14000,990,0,All OS,Changwat Nong Bua Lam Phu,65+,Age,Province
"Changwat Yala, 13-17",19.04,73.35,7.61,0,30000,6100,24000,2600,0,All OS,Changwat Yala,13-17,Age,Province
"Changwat Yala, 18-24",18.15,73.7,8.15,0,81000,16000,62000,6900,0,All OS,Changwat Yala,18-24,Age,Province
"Changwat Yala, 25-34",18.92,73.31,7.77,0,160000,31000,122000,13000,0,All OS,Changwat Yala,25-34,Age,Province
"Changwat Yala, 35-44",17.45,73.84,8.72,0,87000,16000,66000,7800,0,All OS,Changwat Yala,35-44,Age,Province
"Changwat Yala, 45-54",16.22,73.69,10.09,0,41000,6900,32000,4200,0,All OS,Changwat Yala,45-54,Age,Province
"Changwat Yala, 55-64",12.68,75.33,11.99,0,24000,3100,19000,3000,0,All OS,Changwat Yala,55-64,Age,Province
"Changwat Yala, 65+",13.82,74.8,10.64,0.73,16000,2300,11000,1600,100,All OS,Changwat Yala,65+,Age,Province
"Changwat Chumphon, 13-17",20.24,66.85,12.91,0,21000,4700,16000,3100,0,All OS,Changwat Chumphon,13-17,Age,Province
"Changwat Chumphon, 18-24",19.66,65.05,15.3,0,74000,15000,51000,12000,0,All OS,Changwat Chumphon,18-24,Age,Province
"Changwat Chumphon, 25-34",20.08,66.07,13.85,0,157000,32000,109000,23000,0,All OS,Changwat Chumphon,25-34,Age,Province
"Changwat Chumphon, 35-44",20.12,65.9,13.99,0,96000,20000,65000,13000,0,All OS,Changwat Chumphon,35-44,Age,Province
"Changwat Chumphon, 45-54",17.29,68.87,13.84,0,66000,12000,46000,9800,0,All OS,Changwat Chumphon,45-54,Age,Province
"Changwat Chumphon, 55-64",16.38,69.58,14.04,0,42000,7100,30000,5900,0,All OS,Changwat Chumphon,55-64,Age,Province
"Changwat Chumphon, 65+",16.99,69.05,13.95,0,26000,4400,18000,3800,0,All OS,Changwat Chumphon,65+,Age,Province
"Changwat Ratchaburi, 13-17",23.43,55.76,20.81,0,32000,8200,20000,6900,0,All OS,Changwat Ratchaburi,13-17,Age,Province
"Changwat Ratchaburi, 18-24",23.35,54.2,22.45,0,109000,28000,62000,25000,0,All OS,Changwat Ratchaburi,18-24,Age,Province
"Changwat Ratchaburi, 25-34",23.13,56.87,20,0,233000,56000,139000,49000,0,All OS,Changwat Ratchaburi,25-34,Age,Province
"Changwat Ratchaburi, 35-44",22.92,58.93,18.14,0,142000,33000,85000,27000,0,All OS,Changwat Ratchaburi,35-44,Age,Province
"Changwat Ratchaburi, 45-54",21.33,61.67,16.99,0,95000,20000,60000,16000,0,All OS,Changwat Ratchaburi,45-54,Age,Province
