Areas & Category,TMH-MB MKS,AIS-MB MKS,DTAC-MB MKS,TOT-MB MKS,Total Market Size,TMH-MB Total Customer,AIS-MB Total Customer,DTAC-MB Total Customer,TOT-MB Total Customer,AREA_META,Category,Metric,Area_type
"Amphoe Su-ngai Padi, Changwat Narathiwat, 13-17",25.91,52.49,21.59,0,2600,730,1600,700,0,"Amphoe Su-ngai Padi, Changwat Narathiwat",13-17,Age,District
"Amphoe Su-ngai Padi, Changwat Narathiwat, 18-24",19.49,58.9,21.61,0,6600,1400,4000,1600,0,"Amphoe Su-ngai Padi, Changwat Narathiwat",18-24,Age,District
"Amphoe Su-ngai Padi, Changwat Narathiwat, 25-34",20.39,54.93,24.67,0,13000,2900,7700,3500,0,"Amphoe Su-ngai Padi, Changwat Narathiwat",25-34,Age,District
"Amphoe Su-ngai Padi, Changwat Narathiwat, 35-44",22.08,55.46,22.46,0,7800,1800,4400,1800,0,"Amphoe Su-ngai Padi, Changwat Narathiwat",35-44,Age,District
"Amphoe Su-ngai Padi, Changwat Narathiwat, 45-54",23.94,54.86,21.2,0,3800,870,2100,890,0,"Amphoe Su-ngai Padi, Changwat Narathiwat",45-54,Age,District
"Amphoe Su-ngai Padi, Changwat Narathiwat, 55-64",18.5,57,24.5,0,2000,210,1200,460,0,"Amphoe Su-ngai Padi, Changwat Narathiwat",55-64,Age,District
"Amphoe Su-ngai Padi, Changwat Narathiwat, 65+",15.86,64.14,20,0,1400,200,950,370,0,"Amphoe Su-ngai Padi, Changwat Narathiwat",65+,Age,District
"Amphoe Sanom, Changwat Surin, 13-17",33.53,66.47,0,0,1600,620,1100,0,0,"Amphoe Sanom, Changwat Surin",13-17,Age,District
"Amphoe Sanom, Changwat Surin, 18-24",34.15,57.38,8.47,0,3400,1300,2000,410,0,"Amphoe Sanom, Changwat Surin",18-24,Age,District
"Amphoe Sanom, Changwat Surin, 25-34",29.46,60.09,10.45,0,6400,2100,4300,600,0,"Amphoe Sanom, Changwat Surin",25-34,Age,District
"Amphoe Sanom, Changwat Surin, 35-44",25.11,63.64,11.26,0,4300,1100,2900,460,0,"Amphoe Sanom, Changwat Surin",35-44,Age,District
"Amphoe Sanom, Changwat Surin, 45-54",20.77,74.48,4.75,0,3400,740,2500,170,0,"Amphoe Sanom, Changwat Surin",45-54,Age,District
"Amphoe Sanom, Changwat Surin, 55-64",18.38,73.5,8.12,0,2400,510,1800,140,0,"Amphoe Sanom, Changwat Surin",55-64,Age,District
"Amphoe Sanom, Changwat Surin, 65+",15.27,73.28,11.45,0,1200,140,1000,0,0,"Amphoe Sanom, Changwat Surin",65+,Age,District
"Amphoe La-ngu, Changwat Satun, 13-17",17.14,31.07,51.79,0,2500,490,800,1400,0,"Amphoe La-ngu, Changwat Satun",13-17,Age,District
"Amphoe La-ngu, Changwat Satun, 18-24",24.12,29.09,46.78,0,6300,1700,2000,3200,0,"Amphoe La-ngu, Changwat Satun",18-24,Age,District
"Amphoe La-ngu, Changwat Satun, 25-34",24.31,31.42,44.27,0,13000,3400,4200,6100,0,"Amphoe La-ngu, Changwat Satun",25-34,Age,District
"Amphoe La-ngu, Changwat Satun, 35-44",24.31,34.12,41.57,0,9200,2400,3300,3900,0,"Amphoe La-ngu, Changwat Satun",35-44,Age,District
"Amphoe La-ngu, Changwat Satun, 45-54",20.3,34.45,45.25,0,5400,1100,1800,2600,0,"Amphoe La-ngu, Changwat Satun",45-54,Age,District
"Amphoe La-ngu, Changwat Satun, 55-64",16.5,40.4,43.1,0,3000,460,1200,1300,0,"Amphoe La-ngu, Changwat Satun",55-64,Age,District
"Amphoe La-ngu, Changwat Satun, 65+",15.86,40,44.14,0,1500,220,630,680,0,"Amphoe La-ngu, Changwat Satun",65+,Age,District
"Amphoe Chom Thong, Changwat Chiang Mai, 13-17",35.48,48.39,16.13,0,1200,440,650,200,0,"Amphoe Chom Thong, Changwat Chiang Mai",13-17,Age,District
"Amphoe Chom Thong, Changwat Chiang Mai, 18-24",34.19,53.73,12.08,0,3600,1400,2000,450,0,"Amphoe Chom Thong, Changwat Chiang Mai",18-24,Age,District
"Amphoe Chom Thong, Changwat Chiang Mai, 25-34",36.21,53.33,10.46,0,7000,2700,4000,770,0,"Amphoe Chom Thong, Changwat Chiang Mai",25-34,Age,District
"Amphoe Chom Thong, Changwat Chiang Mai, 35-44",32.6,55.2,12.2,0,4900,1700,2800,620,0,"Amphoe Chom Thong, Changwat Chiang Mai",35-44,Age,District
"Amphoe Chom Thong, Changwat Chiang Mai, 45-54",32.08,56.6,11.32,0,3100,970,1600,390,0,"Amphoe Chom Thong, Changwat Chiang Mai",45-54,Age,District
"Amphoe Chom Thong, Changwat Chiang Mai, 55-64",29.44,59.74,10.82,0,2300,660,1300,370,0,"Amphoe Chom Thong, Changwat Chiang Mai",55-64,Age,District
"Amphoe Chom Thong, Changwat Chiang Mai, 65+",25.64,60.26,14.1,0,1500,510,940,210,0,"Amphoe Chom Thong, Changwat Chiang Mai",65+,Age,District
"Amphoe Mueang Trat, Changwat Trat, 13-17",32.33,47.83,19.85,0,4900,1800,2500,980,0,"Amphoe Mueang Trat, Changwat Trat",13-17,Age,District
"Amphoe Mueang Trat, Changwat Trat, 18-24",29.6,51.21,19.18,0,15000,4900,8400,3100,0,"Amphoe Mueang Trat, Changwat Trat",18-24,Age,District
"Amphoe Mueang Trat, Changwat Trat, 25-34",30.66,51.93,17.09,0.33,32000,9800,17000,5800,0,"Amphoe Mueang Trat, Changwat Trat",25-34,Age,District
"Amphoe Mueang Trat, Changwat Trat, 35-44",32.58,51.26,16.16,0,22000,7100,11000,3600,0,"Amphoe Mueang Trat, Changwat Trat",35-44,Age,District
"Amphoe Mueang Trat, Changwat Trat, 45-54",25.59,58.92,15.49,0,15000,4100,8400,2400,0,"Amphoe Mueang Trat, Changwat Trat",45-54,Age,District
"Amphoe Mueang Trat, Changwat Trat, 55-64",24.4,60.96,14.64,0,9700,2300,6000,1500,0,"Amphoe Mueang Trat, Changwat Trat",55-64,Age,District
"Amphoe Mueang Trat, Changwat Trat, 65+",21.78,59.97,18.26,0,6000,1400,3600,1100,0,"Amphoe Mueang Trat, Changwat Trat",65+,Age,District
"Amphoe Khao Chaison, Changwat Phatthalung, 13-17",31.29,68.71,0,0,1700,530,1200,150,0,"Amphoe Khao Chaison, Changwat Phatthalung",13-17,Age,District
"Amphoe Khao Chaison, Changwat Phatthalung, 18-24",26.46,62.85,10.69,0,3600,890,2700,430,0,"Amphoe Khao Chaison, Changwat Phatthalung",18-24,Age,District
"Amphoe Khao Chaison, Changwat Phatthalung, 25-34",27.35,63.5,9.15,0,8200,2500,5500,800,0,"Amphoe Khao Chaison, Changwat Phatthalung",25-34,Age,District
"Amphoe Khao Chaison, Changwat Phatthalung, 35-44",27.11,62.5,10.39,0,5700,1700,3800,610,0,"Amphoe Khao Chaison, Changwat Phatthalung",35-44,Age,District
"Amphoe Khao Chaison, Changwat Phatthalung, 45-54",23.78,66.67,9.56,0,4300,950,2900,420,0,"Amphoe Khao Chaison, Changwat Phatthalung",45-54,Age,District
"Amphoe Khao Chaison, Changwat Phatthalung, 55-64",23.18,67.82,9,0,2900,620,2000,240,0,"Amphoe Khao Chaison, Changwat Phatthalung",55-64,Age,District
"Amphoe Khao Chaison, Changwat Phatthalung, 65+",26.56,60.94,12.5,0,2000,440,1300,190,0,"Amphoe Khao Chaison, Changwat Phatthalung",65+,Age,District
"Amphoe Thap Put, Changwat Phang-nga, 13-17",23.75,52.5,23.75,0,1400,460,810,340,0,"Amphoe Thap Put, Changwat Phang-nga",13-17,Age,District
"Amphoe Thap Put, Changwat Phang-nga, 18-24",31.56,48.54,19.89,0,3700,1100,1900,730,0,"Amphoe Thap Put, Changwat Phang-nga",18-24,Age,District
"Amphoe Thap Put, Changwat Phang-nga, 25-34",29.86,56.29,13.85,0,7400,2300,4400,1000,0,"Amphoe Thap Put, Changwat Phang-nga",25-34,Age,District
"Amphoe Thap Put, Changwat Phang-nga, 35-44",30.24,55.08,14.69,0,4400,1500,2600,790,0,"Amphoe Thap Put, Changwat Phang-nga",35-44,Age,District
"Amphoe Thap Put, Changwat Phang-nga, 45-54",27.85,61.08,11.08,0,2900,900,1900,300,0,"Amphoe Thap Put, Changwat Phang-nga",45-54,Age,District
"Amphoe Thap Put, Changwat Phang-nga, 55-64",25.75,61.8,12.45,0,2200,610,1400,230,0,"Amphoe Thap Put, Changwat Phang-nga",55-64,Age,District
"Amphoe Thap Put, Changwat Phang-nga, 65+",27.27,72.73,0,0,1100,440,710,170,0,"Amphoe Thap Put, Changwat Phang-nga",65+,Age,District
"Amphoe Khun Tan, Changwat Chiang Rai, 13-17",36.21,36.21,27.59,0,670,220,360,190,0,"Amphoe Khun Tan, Changwat Chiang Rai",13-17,Age,District
"Amphoe Khun Tan, Changwat Chiang Rai, 18-24",37.66,28.57,33.77,0,1600,680,530,520,0,"Amphoe Khun Tan, Changwat Chiang Rai",18-24,Age,District
"Amphoe Khun Tan, Changwat Chiang Rai, 25-34",35.51,40.06,24.43,0,3400,1200,1400,920,0,"Amphoe Khun Tan, Changwat Chiang Rai",25-34,Age,District
"Amphoe Khun Tan, Changwat Chiang Rai, 35-44",32.23,42.86,24.91,0,2600,840,1200,690,0,"Amphoe Khun Tan, Changwat Chiang Rai",35-44,Age,District
"Amphoe Khun Tan, Changwat Chiang Rai, 45-54",23.69,49.4,26.91,0,2500,500,1300,590,0,"Amphoe Khun Tan, Changwat Chiang Rai",45-54,Age,District
"Amphoe Khun Tan, Changwat Chiang Rai, 55-64",23.56,44.89,31.56,0,2300,630,990,770,0,"Amphoe Khun Tan, Changwat Chiang Rai",55-64,Age,District
"Amphoe Khun Tan, Changwat Chiang Rai, 65+",17.29,42.11,40.6,0,1400,290,550,530,0,"Amphoe Khun Tan, Changwat Chiang Rai",65+,Age,District
"Amphoe Sikhio, Changwat Nakhon Ratchasima, 13-17",30.51,62.19,7.3,0,6300,2200,4300,630,0,"Amphoe Sikhio, Changwat Nakhon Ratchasima",13-17,Age,District
"Amphoe Sikhio, Changwat Nakhon Ratchasima, 18-24",30.21,60.91,8.88,0,16000,5600,10000,1600,0,"Amphoe Sikhio, Changwat Nakhon Ratchasima",18-24,Age,District
"Amphoe Sikhio, Changwat Nakhon Ratchasima, 25-34",29.34,61.56,9.1,0,35000,11000,22000,3400,0,"Amphoe Sikhio, Changwat Nakhon Ratchasima",25-34,Age,District
"Amphoe Sikhio, Changwat Nakhon Ratchasima, 35-44",25.24,64.98,9.78,0,23000,6300,16000,2400,0,"Amphoe Sikhio, Changwat Nakhon Ratchasima",35-44,Age,District
"Amphoe Sikhio, Changwat Nakhon Ratchasima, 45-54",24.5,68.68,6.82,0,16000,4300,11000,1100,0,"Amphoe Sikhio, Changwat Nakhon Ratchasima",45-54,Age,District
"Amphoe Sikhio, Changwat Nakhon Ratchasima, 55-64",19.45,73.92,6.63,0,11000,2200,8700,780,0,"Amphoe Sikhio, Changwat Nakhon Ratchasima",55-64,Age,District
"Amphoe Sikhio, Changwat Nakhon Ratchasima, 65+",18.22,73,8.78,0,7500,1400,5500,590,0,"Amphoe Sikhio, Changwat Nakhon Ratchasima",65+,Age,District
"Amphoe Nikhom Nam Un, Changwat Sakon Nakhon, 13-17",39,50,11,0,690,380,510,0,0,"Amphoe Nikhom Nam Un, Changwat Sakon Nakhon",13-17,Age,District
"Amphoe Nikhom Nam Un, Changwat Sakon Nakhon, 18-24",31.39,57.66,10.95,0,1100,420,790,0,0,"Amphoe Nikhom Nam Un, Changwat Sakon Nakhon",18-24,Age,District
"Amphoe Nikhom Nam Un, Changwat Sakon Nakhon, 25-34",35.63,59.39,4.98,0,2400,840,1600,100,0,"Amphoe Nikhom Nam Un, Changwat Sakon Nakhon",25-34,Age,District
"Amphoe Nikhom Nam Un, Changwat Sakon Nakhon, 35-44",29.89,70.11,0,0,1900,580,1300,0,0,"Amphoe Nikhom Nam Un, Changwat Sakon Nakhon",35-44,Age,District
"Amphoe Nikhom Nam Un, Changwat Sakon Nakhon, 45-54",35.54,64.46,0,0,1200,340,700,0,0,"Amphoe Nikhom Nam Un, Changwat Sakon Nakhon",45-54,Age,District
"Amphoe Nikhom Nam Un, Changwat Sakon Nakhon, 55-64",0,100,0,0,720,150,560,0,0,"Amphoe Nikhom Nam Un, Changwat Sakon Nakhon",55-64,Age,District
"Amphoe Nikhom Nam Un, Changwat Sakon Nakhon, 65+",21.74,78.26,0,0,350,0,320,0,0,"Amphoe Nikhom Nam Un, Changwat Sakon Nakhon",65+,Age,District
"Amphoe Li, Changwat Lamphun, 13-17",48.78,41.11,10.1,0,2600,1400,1200,390,0,"Amphoe Li, Changwat Lamphun",13-17,Age,District
"Amphoe Li, Changwat Lamphun, 18-24",49.24,40.06,10.7,0,6300,3200,2700,830,0,"Amphoe Li, Changwat Lamphun",18-24,Age,District
"Amphoe Li, Changwat Lamphun, 25-34",45.99,43.11,10.9,0,12000,5800,5300,1400,0,"Amphoe Li, Changwat Lamphun",25-34,Age,District
"Amphoe Li, Changwat Lamphun, 35-44",46.42,43.86,9.72,0,7100,3400,3200,720,0,"Amphoe Li, Changwat Lamphun",35-44,Age,District
"Amphoe Li, Changwat Lamphun, 45-54",42.42,49.09,8.48,0,5000,2200,2500,340,0,"Amphoe Li, Changwat Lamphun",45-54,Age,District
"Amphoe Li, Changwat Lamphun, 55-64",36.14,53.88,9.98,0,4100,1600,2300,390,0,"Amphoe Li, Changwat Lamphun",55-64,Age,District
"Amphoe Li, Changwat Lamphun, 65+",46.46,45.67,7.87,0,2500,1000,1200,200,0,"Amphoe Li, Changwat Lamphun",65+,Age,District
"Amphoe Tha Ruea, Changwat Phra Nakhon Si Ayutthaya, 13-17",28.89,54.07,17.04,0,1100,400,760,300,0,"Amphoe Tha Ruea, Changwat Phra Nakhon Si Ayutthaya",13-17,Age,District
"Amphoe Tha Ruea, Changwat Phra Nakhon Si Ayutthaya, 18-24",30.13,55.2,14.67,0,3600,1200,2100,480,0,"Amphoe Tha Ruea, Changwat Phra Nakhon Si Ayutthaya",18-24,Age,District
"Amphoe Tha Ruea, Changwat Phra Nakhon Si Ayutthaya, 25-34",29.59,56.88,13.53,0,8800,2600,5200,1200,0,"Amphoe Tha Ruea, Changwat Phra Nakhon Si Ayutthaya",25-34,Age,District
"Amphoe Tha Ruea, Changwat Phra Nakhon Si Ayutthaya, 35-44",28.08,58.6,13.31,0,6000,1700,3700,830,0,"Amphoe Tha Ruea, Changwat Phra Nakhon Si Ayutthaya",35-44,Age,District
"Amphoe Tha Ruea, Changwat Phra Nakhon Si Ayutthaya, 45-54",23.17,59.27,17.56,0,3900,860,2400,750,0,"Amphoe Tha Ruea, Changwat Phra Nakhon Si Ayutthaya",45-54,Age,District
"Amphoe Tha Ruea, Changwat Phra Nakhon Si Ayutthaya, 55-64",21.45,65.68,12.87,0,3000,740,2000,380,0,"Amphoe Tha Ruea, Changwat Phra Nakhon Si Ayutthaya",55-64,Age,District
"Amphoe Tha Ruea, Changwat Phra Nakhon Si Ayutthaya, 65+",21.66,64.97,13.38,0,1800,380,1100,180,0,"Amphoe Tha Ruea, Changwat Phra Nakhon Si Ayutthaya",65+,Age,District
"Amphoe Mae Chai, Changwat Phayao, 13-17",35.59,44.07,20.34,0,680,370,290,150,0,"Amphoe Mae Chai, Changwat Phayao",13-17,Age,District
"Amphoe Mae Chai, Changwat Phayao, 18-24",38.18,45,16.82,0,2100,960,960,430,0,"Amphoe Mae Chai, Changwat Phayao",18-24,Age,District
"Amphoe Mae Chai, Changwat Phayao, 25-34",34.38,47.08,18.54,0,4700,1600,2400,880,0,"Amphoe Mae Chai, Changwat Phayao",25-34,Age,District
"Amphoe Mae Chai, Changwat Phayao, 35-44",36.81,46.09,17.1,0,3300,1200,1700,580,0,"Amphoe Mae Chai, Changwat Phayao",35-44,Age,District
"Amphoe Mae Chai, Changwat Phayao, 45-54",30.32,53.87,15.81,0,3100,1100,1600,510,0,"Amphoe Mae Chai, Changwat Phayao",45-54,Age,District
"Amphoe Mae Chai, Changwat Phayao, 55-64",30.88,54.04,15.07,0,2700,790,1600,540,0,"Amphoe Mae Chai, Changwat Phayao",55-64,Age,District
"Amphoe Mae Chai, Changwat Phayao, 65+",32.72,52.53,14.75,0,2200,530,1100,400,0,"Amphoe Mae Chai, Changwat Phayao",65+,Age,District
"Amphoe Pak Phayun, Changwat Phatthalung, 13-17",22.4,63.39,14.21,0,1600,470,1100,280,0,"Amphoe Pak Phayun, Changwat Phatthalung",13-17,Age,District
"Amphoe Pak Phayun, Changwat Phatthalung, 18-24",21.56,66.03,12.4,0,4600,1100,3400,670,0,"Amphoe Pak Phayun, Changwat Phatthalung",18-24,Age,District
"Amphoe Pak Phayun, Changwat Phatthalung, 25-34",18.97,68.46,12.58,0,9800,2000,7100,1300,0,"Amphoe Pak Phayun, Changwat Phatthalung",25-34,Age,District
"Amphoe Pak Phayun, Changwat Phatthalung, 35-44",22.71,63.26,14.02,0,6300,1400,4200,880,0,"Amphoe Pak Phayun, Changwat Phatthalung",35-44,Age,District
"Amphoe Pak Phayun, Changwat Phatthalung, 45-54",15.12,69.75,15.12,0,4400,760,3100,620,0,"Amphoe Pak Phayun, Changwat Phatthalung",45-54,Age,District
"Amphoe Pak Phayun, Changwat Phatthalung, 55-64",9.51,76.76,13.73,0,2800,320,2100,430,0,"Amphoe Pak Phayun, Changwat Phatthalung",55-64,Age,District
"Amphoe Pak Phayun, Changwat Phatthalung, 65+",17.1,69.43,13.47,0,1800,260,1200,240,0,"Amphoe Pak Phayun, Changwat Phatthalung",65+,Age,District
"Amphoe Nong Chang, Changwat Uthai Thani, 13-17",26.67,68.42,4.91,0,2600,840,1800,140,0,"Amphoe Nong Chang, Changwat Uthai Thani",13-17,Age,District
"Amphoe Nong Chang, Changwat Uthai Thani, 18-24",28.33,64.17,7.5,0,5600,1800,3800,590,0,"Amphoe Nong Chang, Changwat Uthai Thani",18-24,Age,District
"Amphoe Nong Chang, Changwat Uthai Thani, 25-34",31,61.74,7.26,0,11000,3800,7300,910,0,"Amphoe Nong Chang, Changwat Uthai Thani",25-34,Age,District
"Amphoe Nong Chang, Changwat Uthai Thani, 35-44",29.29,63.08,7.63,0,7100,2200,4500,460,0,"Amphoe Nong Chang, Changwat Uthai Thani",35-44,Age,District
"Amphoe Nong Chang, Changwat Uthai Thani, 45-54",27.04,66.24,6.72,0,5300,1400,3700,390,0,"Amphoe Nong Chang, Changwat Uthai Thani",45-54,Age,District
"Amphoe Nong Chang, Changwat Uthai Thani, 55-64",25.79,67.87,6.33,0,4400,1000,3000,390,0,"Amphoe Nong Chang, Changwat Uthai Thani",55-64,Age,District
"Amphoe Nong Chang, Changwat Uthai Thani, 65+",19.7,71.75,8.55,0,2600,520,2000,180,0,"Amphoe Nong Chang, Changwat Uthai Thani",65+,Age,District
"Amphoe Umphang, Changwat Tak, 13-17",7.35,92.65,0,0,4200,420,3900,110,0,"Amphoe Umphang, Changwat Tak",13-17,Age,District
"Amphoe Umphang, Changwat Tak, 18-24",9.73,88.89,1.38,0,10000,1000,9100,0,0,"Amphoe Umphang, Changwat Tak",18-24,Age,District
"Amphoe Umphang, Changwat Tak, 25-34",9.63,87.69,2.68,0,11000,1100,9700,230,0,"Amphoe Umphang, Changwat Tak",25-34,Age,District
"Amphoe Umphang, Changwat Tak, 35-44",10.57,87.13,2.3,0,4200,390,3600,160,0,"Amphoe Umphang, Changwat Tak",35-44,Age,District
"Amphoe Umphang, Changwat Tak, 45-54",11.92,88.08,0,0,2100,170,1800,0,0,"Amphoe Umphang, Changwat Tak",45-54,Age,District
"Amphoe Umphang, Changwat Tak, 55-64",10.16,89.84,0,0,1300,150,1200,0,0,"Amphoe Umphang, Changwat Tak",55-64,Age,District
"Amphoe Umphang, Changwat Tak, 65+",0,100,0,0,730,0,650,0,0,"Amphoe Umphang, Changwat Tak",65+,Age,District
"Amphoe Khai Bang Rachan, Changwat Sing Buri, 13-17",31.4,56.98,11.63,0,710,200,470,0,0,"Amphoe Khai Bang Rachan, Changwat Sing Buri",13-17,Age,District
"Amphoe Khai Bang Rachan, Changwat Sing Buri, 18-24",29.45,53.77,16.78,0,2600,820,1500,400,0,"Amphoe Khai Bang Rachan, Changwat Sing Buri",18-24,Age,District
"Amphoe Khai Bang Rachan, Changwat Sing Buri, 25-34",25.54,56.52,17.93,0,5500,1600,3200,960,0,"Amphoe Khai Bang Rachan, Changwat Sing Buri",25-34,Age,District
"Amphoe Khai Bang Rachan, Changwat Sing Buri, 35-44",31.18,53.23,15.59,0,3600,1100,2000,620,0,"Amphoe Khai Bang Rachan, Changwat Sing Buri",35-44,Age,District
"Amphoe Khai Bang Rachan, Changwat Sing Buri, 45-54",24.58,60,15.42,0,2400,650,1500,430,0,"Amphoe Khai Bang Rachan, Changwat Sing Buri",45-54,Age,District
"Amphoe Khai Bang Rachan, Changwat Sing Buri, 55-64",22.47,58.15,19.38,0,2000,490,1400,330,0,"Amphoe Khai Bang Rachan, Changwat Sing Buri",55-64,Age,District
"Amphoe Khai Bang Rachan, Changwat Sing Buri, 65+",22.12,58.41,19.47,0,1100,210,640,290,0,"Amphoe Khai Bang Rachan, Changwat Sing Buri",65+,Age,District
"Amphoe Chiang Klang, Changwat Nan, 13-17",29.76,70.24,0,0,740,230,560,0,0,"Amphoe Chiang Klang, Changwat Nan",13-17,Age,District
"Amphoe Chiang Klang, Changwat Nan, 18-24",26.19,73.81,0,0,1700,660,1200,120,0,"Amphoe Chiang Klang, Changwat Nan",18-24,Age,District
"Amphoe Chiang Klang, Changwat Nan, 25-34",29.41,63.64,6.95,0,3500,1000,2400,200,0,"Amphoe Chiang Klang, Changwat Nan",25-34,Age,District
"Amphoe Chiang Klang, Changwat Nan, 35-44",26.47,68.91,4.62,0,2400,600,1700,140,0,"Amphoe Chiang Klang, Changwat Nan",35-44,Age,District
"Amphoe Chiang Klang, Changwat Nan, 45-54",20.96,79.04,0,0,1800,410,1300,0,0,"Amphoe Chiang Klang, Changwat Nan",45-54,Age,District
"Amphoe Chiang Klang, Changwat Nan, 55-64",18.6,72.56,8.84,0,2200,430,1700,220,0,"Amphoe Chiang Klang, Changwat Nan",55-64,Age,District
"Amphoe Chiang Klang, Changwat Nan, 65+",0,82.65,17.35,0,1200,170,830,0,0,"Amphoe Chiang Klang, Changwat Nan",65+,Age,District
"Amphoe Thung Chang, Changwat Nan, 13-17",30.56,59.26,10.19,0,970,280,630,0,0,"Amphoe Thung Chang, Changwat Nan",13-17,Age,District
"Amphoe Thung Chang, Changwat Nan, 18-24",30.92,56.63,12.45,0,2400,790,1400,230,0,"Amphoe Thung Chang, Changwat Nan",18-24,Age,District
"Amphoe Thung Chang, Changwat Nan, 25-34",27.45,56.56,15.99,0,3900,1100,2300,570,0,"Amphoe Thung Chang, Changwat Nan",25-34,Age,District
"Amphoe Thung Chang, Changwat Nan, 35-44",30.74,56.54,12.72,0,2800,890,1600,410,0,"Amphoe Thung Chang, Changwat Nan",35-44,Age,District
"Amphoe Thung Chang, Changwat Nan, 45-54",25.82,58.79,15.38,0,1900,500,1100,350,0,"Amphoe Thung Chang, Changwat Nan",45-54,Age,District
"Amphoe Thung Chang, Changwat Nan, 55-64",20.63,60.32,19.05,0,1800,330,1100,300,0,"Amphoe Thung Chang, Changwat Nan",55-64,Age,District
"Amphoe Thung Chang, Changwat Nan, 65+",18.89,81.11,0,0,1000,160,670,0,0,"Amphoe Thung Chang, Changwat Nan",65+,Age,District
"Amphoe Sam Chuk, Changwat Suphan Buri, 13-17",24.48,64.34,11.19,0,1500,480,990,220,0,"Amphoe Sam Chuk, Changwat Suphan Buri",13-17,Age,District
"Amphoe Sam Chuk, Changwat Suphan Buri, 18-24",21.29,63.14,15.57,0,6700,1700,4500,1100,0,"Amphoe Sam Chuk, Changwat Suphan Buri",18-24,Age,District
"Amphoe Sam Chuk, Changwat Suphan Buri, 25-34",22.59,62.49,14.92,0,12000,2800,8000,1900,0,"Amphoe Sam Chuk, Changwat Suphan Buri",25-34,Age,District
"Amphoe Sam Chuk, Changwat Suphan Buri, 35-44",19.71,66.46,13.83,0,7800,1500,5500,1100,0,"Amphoe Sam Chuk, Changwat Suphan Buri",35-44,Age,District
"Amphoe Sam Chuk, Changwat Suphan Buri, 45-54",18.26,62.09,19.65,0,5700,1100,3600,1100,0,"Amphoe Sam Chuk, Changwat Suphan Buri",45-54,Age,District
"Amphoe Sam Chuk, Changwat Suphan Buri, 55-64",17.12,70.38,12.5,0,3700,740,2600,490,0,"Amphoe Sam Chuk, Changwat Suphan Buri",55-64,Age,District
"Amphoe Sam Chuk, Changwat Suphan Buri, 65+",21.43,66.27,12.3,0,2500,510,1700,420,0,"Amphoe Sam Chuk, Changwat Suphan Buri",65+,Age,District
"Amphoe Ban Phaeo, Changwat Samut Sakhon, 13-17",28.62,28.79,42.59,0,5500,1700,1800,2400,0,"Amphoe Ban Phaeo, Changwat Samut Sakhon",13-17,Age,District
"Amphoe Ban Phaeo, Changwat Samut Sakhon, 18-24",21.36,29.98,48.67,0,22000,5000,6800,11000,0,"Amphoe Ban Phaeo, Changwat Samut Sakhon",18-24,Age,District
"Amphoe Ban Phaeo, Changwat Samut Sakhon, 25-34",21.9,33.78,44.33,0,46000,10000,16000,21000,0,"Amphoe Ban Phaeo, Changwat Samut Sakhon",25-34,Age,District
"Amphoe Ban Phaeo, Changwat Samut Sakhon, 35-44",22.34,37.8,39.87,0,27000,6100,10000,11000,0,"Amphoe Ban Phaeo, Changwat Samut Sakhon",35-44,Age,District
"Amphoe Ban Phaeo, Changwat Samut Sakhon, 45-54",18.61,44.77,36.62,0,17000,3400,8200,6500,0,"Amphoe Ban Phaeo, Changwat Samut Sakhon",45-54,Age,District
"Amphoe Ban Phaeo, Changwat Samut Sakhon, 55-64",20.25,45.16,34.59,0,12000,2500,5500,4300,0,"Amphoe Ban Phaeo, Changwat Samut Sakhon",55-64,Age,District
"Amphoe Ban Phaeo, Changwat Samut Sakhon, 65+",17.01,44.53,38.46,0,6600,1200,3000,2600,0,"Amphoe Ban Phaeo, Changwat Samut Sakhon",65+,Age,District
"Amphoe Pathum Ratchawongsa, Changwat Amnat Charoen, 13-17",35.26,56.84,7.89,0,1700,670,1100,170,0,"Amphoe Pathum Ratchawongsa, Changwat Amnat Charoen",13-17,Age,District
"Amphoe Pathum Ratchawongsa, Changwat Amnat Charoen, 18-24",35.69,52.19,12.12,0,2800,1100,1500,290,0,"Amphoe Pathum Ratchawongsa, Changwat Amnat Charoen",18-24,Age,District
"Amphoe Pathum Ratchawongsa, Changwat Amnat Charoen, 25-34",35.73,52.75,11.52,0,5500,2100,3200,600,0,"Amphoe Pathum Ratchawongsa, Changwat Amnat Charoen",25-34,Age,District
"Amphoe Pathum Ratchawongsa, Changwat Amnat Charoen, 35-44",36.65,56.83,6.52,0,3200,1100,1900,310,0,"Amphoe Pathum Ratchawongsa, Changwat Amnat Charoen",35-44,Age,District
"Amphoe Pathum Ratchawongsa, Changwat Amnat Charoen, 45-54",28.84,59.93,11.24,0,2700,770,1500,320,0,"Amphoe Pathum Ratchawongsa, Changwat Amnat Charoen",45-54,Age,District
"Amphoe Pathum Ratchawongsa, Changwat Amnat Charoen, 55-64",25,68.62,6.38,0,2100,580,1400,220,0,"Amphoe Pathum Ratchawongsa, Changwat Amnat Charoen",55-64,Age,District
"Amphoe Pathum Ratchawongsa, Changwat Amnat Charoen, 65+",26.61,73.39,0,0,1000,250,540,110,0,"Amphoe Pathum Ratchawongsa, Changwat Amnat Charoen",65+,Age,District
"Bangkok Yai, Bangkok, 13-17",30.22,26.98,42.81,0,2600,810,750,1200,0,"Bangkok Yai, Bangkok",13-17,Age,District
