Provinces & Category,TMH-MB MKS,AIS-MB MKS,DTAC-MB MKS,TOT-MB MKS,TMH-MB Market Size,AIS-MB Market Size,DTAC-MB Market Size,TOT-MB Market Size,TMH-MB Total Customer,AIS-MB Total Customer,DTAC-MB Total Customer,TOT-MB Total Customer,Source,Provinces,Category,Metric
"Changwat Si Sa Ket, 45-54",25.74,58.45,15.8,--,"106,000","106,000","106,000","106,000","28,000","63,000","17,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Si Sa Ket,45-54,Age
"Changwat Si Sa Ket, 55-64",23.3,61.47,15.22,--,"70,000","70,000","70,000","70,000","17,000","44,000","11,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Si Sa Ket,55-64,Age
"Changwat Si Sa Ket, 65+",24.24,61.1,14.66,--,"39,000","39,000","39,000","39,000","9,700","24,000","6,200",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Si Sa Ket,65+,Age
"Changwat Prachin Buri, 13-17",30.29,57.74,11.97,--,"22,000","22,000","22,000","22,000","7,400","14,000","3,100",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Prachin Buri,13-17,Age
"Changwat Prachin Buri, 18-24",30.35,57.37,12.29,--,"86,000","86,000","86,000","86,000","27,000","52,000","11,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Prachin Buri,18-24,Age
"Changwat Prachin Buri, 25-34",28.79,58.84,12.37,--,"183,000","183,000","183,000","183,000","53,000","113,000","24,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Prachin Buri,25-34,Age
"Changwat Prachin Buri, 35-44",26.29,60.97,12.73,--,"115,000","115,000","115,000","115,000","31,000","72,000","15,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Prachin Buri,35-44,Age
"Changwat Prachin Buri, 45-54",22.89,66.61,10.5,--,"69,000","69,000","69,000","69,000","17,000","47,000","7,700",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Prachin Buri,45-54,Age
"Changwat Prachin Buri, 55-64",19.73,69.11,11.16,--,"40,000","40,000","40,000","40,000","8,100","27,000","4,600",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Prachin Buri,55-64,Age
"Changwat Prachin Buri, 65+",21.68,64.22,14.1,--,"21,000","21,000","21,000","21,000","4,600","14,000","3,100",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Prachin Buri,65+,Age
"Changwat Krabi, 13-17",23.23,64.11,12.67,--,"26,000","26,000","26,000","26,000","6,600","18,000","3,800",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Krabi,13-17,Age
"Changwat Krabi, 18-24",24.89,60.31,14.8,--,"74,000","74,000","74,000","74,000","20,000","48,000","12,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Krabi,18-24,Age
"Changwat Krabi, 25-34",24.36,62.78,12.87,--,"155,000","155,000","155,000","155,000","40,000","100,000","21,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Krabi,25-34,Age
"Changwat Krabi, 35-44",23.71,62.85,13.44,--,"99,000","99,000","99,000","99,000","24,000","65,000","14,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Krabi,35-44,Age
"Changwat Krabi, 45-54",19.66,67.96,12.38,--,"60,000","60,000","60,000","60,000","12,000","42,000","7,800",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Krabi,45-54,Age
"Changwat Krabi, 55-64",16.44,72.09,11.2,0.27,"36,000","36,000","36,000","36,000","6,200","26,000","4,200",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Krabi,55-64,Age
"Changwat Krabi, 65+",18.62,67.84,13.54,--,"21,000","21,000","21,000","21,000","3,900","15,000","2,900",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Krabi,65+,Age
"Changwat Phuket, 13-17",24.76,43.11,32.13,--,"28,000","28,000","28,000","28,000","7,600","13,000","10,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Phuket,13-17,Age
"Changwat Phuket, 18-24",22.31,39.81,37.88,--,"143,000","143,000","143,000","143,000","33,000","59,000","58,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Phuket,18-24,Age
"Changwat Phuket, 25-34",24.74,42.02,33.23,--,"341,000","341,000","341,000","341,000","87,000","148,000","115,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Phuket,25-34,Age
"Changwat Phuket, 35-44",25.66,45.08,29.26,--,"204,000","204,000","204,000","204,000","52,000","93,000","61,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Phuket,35-44,Age
"Changwat Phuket, 45-54",23.11,49.25,27.64,--,"114,000","114,000","114,000","114,000","27,000","58,000","32,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Phuket,45-54,Age
"Changwat Phuket, 55-64",19.8,51.36,28.85,--,"58,000","58,000","58,000","58,000","12,000","29,000","17,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Phuket,55-64,Age
"Changwat Phuket, 65+",17.35,51.88,30.78,--,"35,000","35,000","35,000","35,000","6,600","18,000","11,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Phuket,65+,Age
"Changwat Surat Thani, 13-17",23.13,55.37,21.5,--,"48,000","48,000","48,000","48,000","12,000","29,000","11,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Surat Thani,13-17,Age
"Changwat Surat Thani, 18-24",22.69,52.97,24.34,--,"167,000","167,000","167,000","167,000","41,000","94,000","43,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Surat Thani,18-24,Age
"Changwat Surat Thani, 25-34",24.32,53.65,22.03,--,"357,000","357,000","357,000","357,000","91,000","200,000","83,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Surat Thani,25-34,Age
"Changwat Surat Thani, 35-44",24.06,55.04,20.89,--,"228,000","228,000","228,000","228,000","56,000","129,000","50,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Surat Thani,35-44,Age
"Changwat Surat Thani, 45-54",20.1,59.89,20.0,--,"143,000","143,000","143,000","143,000","30,000","86,000","29,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Surat Thani,45-54,Age
"Changwat Surat Thani, 55-64",18.36,61.24,20.4,--,"86,000","86,000","86,000","86,000","16,000","54,000","19,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Surat Thani,55-64,Age
"Changwat Surat Thani, 65+",17.13,61.47,21.4,--,"50,000","50,000","50,000","50,000","8,800","31,000","11,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Surat Thani,65+,Age
"Changwat Khon Kaen, 13-17",35.33,44.07,20.6,--,"66,000","66,000","66,000","66,000","25,000","33,000","15,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Khon Kaen,13-17,Age
"Changwat Khon Kaen, 18-24",37.54,42.22,20.24,--,"209,000","209,000","209,000","209,000","85,000","96,000","46,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Khon Kaen,18-24,Age
"Changwat Khon Kaen, 25-34",35.95,42.64,21.41,--,"386,000","386,000","386,000","386,000","147,000","175,000","88,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Khon Kaen,25-34,Age
"Changwat Khon Kaen, 35-44",32.89,45.43,21.67,--,"242,000","242,000","242,000","242,000","82,000","114,000","55,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Khon Kaen,35-44,Age
"Changwat Khon Kaen, 45-54",28.44,49.7,21.85,--,"177,000","177,000","177,000","177,000","52,000","90,000","40,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Khon Kaen,45-54,Age
"Changwat Khon Kaen, 55-64",26.32,51.98,21.71,--,"132,000","132,000","132,000","132,000","35,000","69,000","30,000",100,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Khon Kaen,55-64,Age
"Changwat Khon Kaen, 65+",24.82,52.13,23.05,--,"74,000","74,000","74,000","74,000","19,000","41,000","17,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Khon Kaen,65+,Age
"Changwat Trang, 13-17",25.13,48.2,26.67,--,"25,000","25,000","25,000","25,000","7,300","14,000","7,800",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Trang,13-17,Age
"Changwat Trang, 18-24",24.14,47.94,27.92,--,"75,000","75,000","75,000","75,000","20,000","40,000","24,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Trang,18-24,Age
"Changwat Trang, 25-34",24.45,49.29,26.26,--,"152,000","152,000","152,000","152,000","39,000","80,000","43,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Trang,25-34,Age
"Changwat Trang, 35-44",23.06,50.65,26.29,--,"101,000","101,000","101,000","101,000","24,000","52,000","29,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Trang,35-44,Age
"Changwat Trang, 45-54",21.76,50.29,27.95,--,"67,000","67,000","67,000","67,000","15,000","36,000","20,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Trang,45-54,Age
"Changwat Trang, 55-64",19.92,52.12,27.96,--,"44,000","44,000","44,000","44,000","9,100","23,000","13,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Trang,55-64,Age
"Changwat Trang, 65+",19.41,52.11,28.48,--,"27,000","27,000","27,000","27,000","5,400","14,000","8,200",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Trang,65+,Age
"Changwat Prachuap Khiri Khan, 13-17",22.73,60.95,16.32,--,"20,000","20,000","20,000","20,000","4,900","13,000","3,500",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Prachuap Khiri Khan,13-17,Age
"Changwat Prachuap Khiri Khan, 18-24",24.37,59.22,16.41,--,"68,000","68,000","68,000","68,000","18,000","42,000","12,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Prachuap Khiri Khan,18-24,Age
"Changwat Prachuap Khiri Khan, 25-34",24.99,60.26,14.76,--,"144,000","144,000","144,000","144,000","38,000","91,000","21,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Prachuap Khiri Khan,25-34,Age
"Changwat Prachuap Khiri Khan, 35-44",24.28,62.06,13.66,--,"91,000","91,000","91,000","91,000","23,000","57,000","13,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Prachuap Khiri Khan,35-44,Age
"Changwat Prachuap Khiri Khan, 45-54",21.63,65.9,12.47,--,"60,000","60,000","60,000","60,000","13,000","41,000","7,800",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Prachuap Khiri Khan,45-54,Age
"Changwat Prachuap Khiri Khan, 55-64",18.22,70.04,11.74,--,"39,000","39,000","39,000","39,000","7,100","27,000","4,700",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Prachuap Khiri Khan,55-64,Age
"Changwat Prachuap Khiri Khan, 65+",19.98,64.45,15.58,--,"24,000","24,000","24,000","24,000","4,900","16,000","3,800",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Prachuap Khiri Khan,65+,Age
"Changwat Amnat Charoen, 13-17",40.78,46.5,12.72,--,"14,000","14,000","14,000","14,000","6,300","7,100","1,900",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Amnat Charoen,13-17,Age
"Changwat Amnat Charoen, 18-24",38.74,47.27,13.99,--,"31,000","31,000","31,000","31,000","13,000","16,000","4,800",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Amnat Charoen,18-24,Age
"Changwat Amnat Charoen, 25-34",39.25,46.5,14.25,--,"60,000","60,000","60,000","60,000","24,000","28,000","8,900",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Amnat Charoen,25-34,Age
"Changwat Amnat Charoen, 35-44",36.6,49.2,14.2,--,"36,000","36,000","36,000","36,000","13,000","18,000","5,300",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Amnat Charoen,35-44,Age
"Changwat Amnat Charoen, 45-54",33.92,53.34,12.74,--,"28,000","28,000","28,000","28,000","9,900","16,000","3,800",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Amnat Charoen,45-54,Age
"Changwat Amnat Charoen, 55-64",30.39,54.3,15.31,--,"22,000","22,000","22,000","22,000","7,000","11,000","3,500",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Amnat Charoen,55-64,Age
"Changwat Amnat Charoen, 65+",30.86,55.06,14.07,--,"12,000","12,000","12,000","12,000","3,700","6,700","1,700",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Amnat Charoen,65+,Age
"Changwat Chiang Rai, 13-17",34.29,48.0,17.71,--,"51,000","51,000","51,000","51,000","19,000","26,000","9,800",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chiang Rai,13-17,Age
"Changwat Chiang Rai, 18-24",36.83,42.17,21.0,--,"157,000","157,000","157,000","157,000","61,000","70,000","34,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chiang Rai,18-24,Age
"Changwat Chiang Rai, 25-34",35.58,43.87,20.54,--,"289,000","289,000","289,000","289,000","106,000","131,000","61,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chiang Rai,25-34,Age
"Changwat Chiang Rai, 35-44",34.78,45.84,19.37,--,"182,000","182,000","182,000","182,000","66,000","85,000","37,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chiang Rai,35-44,Age
"Changwat Chiang Rai, 45-54",30.34,48.34,21.32,--,"121,000","121,000","121,000","121,000","37,000","60,000","26,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chiang Rai,45-54,Age
"Changwat Chiang Rai, 55-64",26.33,51.05,22.63,--,"94,000","94,000","94,000","94,000","27,000","49,000","21,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chiang Rai,55-64,Age
"Changwat Chiang Rai, 65+",27.68,49.83,22.48,--,"62,000","62,000","62,000","62,000","17,000","32,000","14,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chiang Rai,65+,Age
"Changwat Narathiwat, 13-17",23.45,59.98,16.57,--,"36,000","36,000","36,000","36,000","9,300","23,000","6,400",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Narathiwat,13-17,Age
"Changwat Narathiwat, 18-24",21.03,62.33,16.64,--,"86,000","86,000","86,000","86,000","19,000","56,000","16,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Narathiwat,18-24,Age
"Changwat Narathiwat, 25-34",20.57,63.32,16.11,--,"162,000","162,000","162,000","162,000","36,000","107,000","27,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Narathiwat,25-34,Age
"Changwat Narathiwat, 35-44",20.4,64.53,15.07,--,"89,000","89,000","89,000","89,000","19,000","58,000","14,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Narathiwat,35-44,Age
"Changwat Narathiwat, 45-54",17.88,66.42,15.7,--,"41,000","41,000","41,000","41,000","7,700","28,000","6,700",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Narathiwat,45-54,Age
"Changwat Narathiwat, 55-64",15.59,67.89,16.51,--,"22,000","22,000","22,000","22,000","3,700","15,000","3,800",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Narathiwat,55-64,Age
"Changwat Narathiwat, 65+",16.69,65.92,17.39,--,"14,000","14,000","14,000","14,000","2,400","10,000","2,500",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Narathiwat,65+,Age
"Changwat Kalasin, 13-17",39.71,52.85,7.43,--,"37,000","37,000","37,000","37,000","16,000","21,000","3,100",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Kalasin,13-17,Age
"Changwat Kalasin, 18-24",40.78,51.22,8.0,--,"84,000","84,000","84,000","84,000","38,000","47,000","7,300",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Kalasin,18-24,Age
"Changwat Kalasin, 25-34",37.89,54.26,7.86,--,"156,000","156,000","156,000","156,000","62,000","90,000","13,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Kalasin,25-34,Age
"Changwat Kalasin, 35-44",36.67,54.66,8.67,--,"99,000","99,000","99,000","99,000","38,000","58,000","8,800",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Kalasin,35-44,Age
"Changwat Kalasin, 45-54",31.35,60.65,8.0,--,"79,000","79,000","79,000","79,000","26,000","50,000","6,600",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Kalasin,45-54,Age
"Changwat Kalasin, 55-64",27.89,63.89,8.22,--,"61,000","61,000","61,000","61,000","17,000","39,000","5,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Kalasin,55-64,Age
"Changwat Kalasin, 65+",30.2,61.43,8.37,--,"32,000","32,000","32,000","32,000","9,700","20,000","2,600",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Kalasin,65+,Age
"Changwat Sakon Nakhon, 13-17",33.15,62.14,4.71,--,"46,000","46,000","46,000","46,000","16,000","31,000","2,400",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Sakon Nakhon,13-17,Age
"Changwat Sakon Nakhon, 18-24",35.11,58.47,6.42,--,"113,000","113,000","113,000","113,000","43,000","72,000","7,900",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Sakon Nakhon,18-24,Age
"Changwat Sakon Nakhon, 25-34",33.19,60.95,5.86,--,"198,000","198,000","198,000","198,000","68,000","126,000","12,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Sakon Nakhon,25-34,Age
"Changwat Sakon Nakhon, 35-44",31.29,63.0,5.72,--,"124,000","124,000","124,000","124,000","39,000","81,000","7,400",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Sakon Nakhon,35-44,Age
"Changwat Sakon Nakhon, 45-54",24.15,70.2,5.65,--,"97,000","97,000","97,000","97,000","24,000","68,000","5,800",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Sakon Nakhon,45-54,Age
"Changwat Sakon Nakhon, 55-64",21.49,73.41,5.1,--,"70,000","70,000","70,000","70,000","15,000","53,000","3,600",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Sakon Nakhon,55-64,Age
"Changwat Sakon Nakhon, 65+",22.03,72.7,5.28,--,"39,000","39,000","39,000","39,000","9,000","29,000","2,100",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Sakon Nakhon,65+,Age
"Changwat Ubon Ratchathani, 13-17",33.69,40.67,25.64,--,"83,000","83,000","83,000","83,000","31,000","38,000","24,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Ubon Ratchathani,13-17,Age
"Changwat Ubon Ratchathani, 18-24",33.95,39.21,26.84,--,"218,000","218,000","218,000","218,000","81,000","93,000","64,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Ubon Ratchathani,18-24,Age
"Changwat Ubon Ratchathani, 25-34",32.33,40.48,27.19,--,"392,000","392,000","392,000","392,000","134,000","166,000","113,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Ubon Ratchathani,25-34,Age
"Changwat Ubon Ratchathani, 35-44",31.41,42.26,26.33,--,"235,000","235,000","235,000","235,000","77,000","103,000","64,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Ubon Ratchathani,35-44,Age
"Changwat Ubon Ratchathani, 45-54",27.49,46.28,26.23,--,"173,000","173,000","173,000","173,000","48,000","82,000","46,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Ubon Ratchathani,45-54,Age
"Changwat Ubon Ratchathani, 55-64",25.77,48.58,25.64,--,"119,000","119,000","119,000","119,000","31,000","59,000","31,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Ubon Ratchathani,55-64,Age
"Changwat Ubon Ratchathani, 65+",24.61,50.32,25.07,--,"73,000","73,000","73,000","73,000","19,000","37,000","19,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Ubon Ratchathani,65+,Age
"Changwat Mukdahan, 13-17",45.73,47.23,7.04,--,"16,000","16,000","16,000","16,000","8,100","8,400","1,200",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Mukdahan,13-17,Age
"Changwat Mukdahan, 18-24",46.19,45.2,8.61,--,"39,000","39,000","39,000","39,000","19,000","18,000","3,600",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Mukdahan,18-24,Age
"Changwat Mukdahan, 25-34",42.77,48.73,8.51,--,"79,000","79,000","79,000","79,000","35,000","39,000","7,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Mukdahan,25-34,Age
"Changwat Mukdahan, 35-44",39.53,52.42,8.05,--,"50,000","50,000","50,000","50,000","21,000","26,000","4,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Mukdahan,35-44,Age
"Changwat Mukdahan, 45-54",35.61,55.47,8.92,--,"39,000","39,000","39,000","39,000","14,000","22,000","3,400",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Mukdahan,45-54,Age
"Changwat Mukdahan, 55-64",32.69,58.6,8.71,--,"27,000","27,000","27,000","27,000","9,000","16,000","2,400",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Mukdahan,55-64,Age
"Changwat Mukdahan, 65+",29.79,60.56,9.65,--,"15,000","15,000","15,000","15,000","4,600","9,000","1,500",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Mukdahan,65+,Age
"Changwat Chachoengsao, 13-17",33.92,40.98,25.09,--,"29,000","29,000","29,000","29,000","11,000","13,000","7,800",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chachoengsao,13-17,Age
"Changwat Chachoengsao, 18-24",32.19,43.15,24.65,--,"115,000","115,000","115,000","115,000","40,000","53,000","31,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chachoengsao,18-24,Age
"Changwat Chachoengsao, 25-34",30.88,45.67,23.45,--,"257,000","257,000","257,000","257,000","84,000","123,000","62,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chachoengsao,25-34,Age
"Changwat Chachoengsao, 35-44",29.32,47.82,22.86,--,"163,000","163,000","163,000","163,000","49,000","81,000","37,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chachoengsao,35-44,Age
"Changwat Chachoengsao, 45-54",25.86,49.94,24.2,--,"95,000","95,000","95,000","95,000","25,000","49,000","24,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chachoengsao,45-54,Age
"Changwat Chachoengsao, 55-64",21.98,51.15,26.87,--,"56,000","56,000","56,000","56,000","13,000","29,000","15,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chachoengsao,55-64,Age
"Changwat Chachoengsao, 65+",22.58,49.33,28.09,--,"29,000","29,000","29,000","29,000","6,900","15,000","8,400",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chachoengsao,65+,Age
"Changwat Saraburi, 13-17",34.28,50.68,15.04,--,"26,000","26,000","26,000","26,000","9,800","15,000","4,500",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Saraburi,13-17,Age
"Changwat Saraburi, 18-24",33.18,50.7,16.12,--,"100,000","100,000","100,000","100,000","35,000","54,000","17,000",130,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Saraburi,18-24,Age
"Changwat Saraburi, 25-34",30.84,54.15,15.01,--,"225,000","225,000","225,000","225,000","74,000","128,000","36,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Saraburi,25-34,Age
"Changwat Saraburi, 35-44",28.99,57.27,13.66,0.07,"146,000","146,000","146,000","146,000","44,000","88,000","20,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Saraburi,35-44,Age
"Changwat Saraburi, 45-54",25.85,61.51,12.64,--,"100,000","100,000","100,000","100,000","26,000","64,000","13,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Saraburi,45-54,Age
"Changwat Saraburi, 55-64",23.2,64.0,12.8,--,"62,000","62,000","62,000","62,000","15,000","41,000","8,400",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Saraburi,55-64,Age
"Changwat Saraburi, 65+",24.07,61.67,14.26,--,"34,000","34,000","34,000","34,000","8,500","21,000","4,900",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Saraburi,65+,Age
"Changwat Chaiyaphum, 13-17",34.14,56.55,9.31,--,"42,000","42,000","42,000","42,000","15,000","25,000","4,100",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chaiyaphum,13-17,Age
"Changwat Chaiyaphum, 18-24",35.72,53.61,10.68,--,"96,000","96,000","96,000","96,000","39,000","56,000","11,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chaiyaphum,18-24,Age
"Changwat Chaiyaphum, 25-34",33.95,56.23,9.81,--,"190,000","190,000","190,000","190,000","69,000","111,000","20,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chaiyaphum,25-34,Age
"Changwat Chaiyaphum, 35-44",31.93,58.21,9.86,--,"120,000","120,000","120,000","120,000","40,000","73,000","12,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chaiyaphum,35-44,Age
"Changwat Chaiyaphum, 45-54",27.79,62.05,10.16,--,"95,000","95,000","95,000","95,000","27,000","60,000","9,900",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chaiyaphum,45-54,Age
"Changwat Chaiyaphum, 55-64",24.11,65.35,10.53,--,"75,000","75,000","75,000","75,000","18,000","49,000","8,400",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chaiyaphum,55-64,Age
"Changwat Chaiyaphum, 65+",24.61,64.29,11.1,--,"42,000","42,000","42,000","42,000","11,000","28,000","4,700",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chaiyaphum,65+,Age
"Changwat Uttaradit, 13-17",41.08,46.01,12.91,--,"13,000","13,000","13,000","13,000","6,000","7,100","2,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Uttaradit,13-17,Age
"Changwat Uttaradit, 18-24",37.51,49.1,13.39,--,"44,000","44,000","44,000","44,000","17,000","23,000","6,600",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Uttaradit,18-24,Age
"Changwat Uttaradit, 25-34",37.18,51.0,11.82,--,"82,000","82,000","82,000","82,000","32,000","44,000","10,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Uttaradit,25-34,Age
"Changwat Uttaradit, 35-44",35.47,52.16,12.37,--,"56,000","56,000","56,000","56,000","20,000","31,000","7,300",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Uttaradit,35-44,Age
"Changwat Uttaradit, 45-54",30.86,58.02,11.12,--,"44,000","44,000","44,000","44,000","14,000","26,000","5,200",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Uttaradit,45-54,Age
"Changwat Uttaradit, 55-64",27.06,60.28,12.66,--,"35,000","35,000","35,000","35,000","10,000","21,000","4,600",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Uttaradit,55-64,Age
"Changwat Uttaradit, 65+",28.19,58.23,13.58,--,"22,000","22,000","22,000","22,000","6,400","13,000","3,100",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Uttaradit,65+,Age
"Changwat Ang Thong, 13-17",28.71,56.97,14.31,--,"9,900","9,900","9,900","9,900","3,200","6,000","1,600",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Ang Thong,13-17,Age
"Changwat Ang Thong, 18-24",29.16,54.77,16.07,--,"30,000","30,000","30,000","30,000","9,000","17,000","5,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Ang Thong,18-24,Age
