Provinces & Category,TMH-MB MKS,AIS-MB MKS,DTAC-MB MKS,TOT-MB MKS,TMH-MB Market Size,AIS-MB Market Size,DTAC-MB Market Size,TOT-MB Market Size,TMH-MB Total Customer,AIS-MB Total Customer,DTAC-MB Total Customer,TOT-MB Total Customer,Source,Provinces,Category,Metric
"Changwat Nakhon Si Thammarat, 18-24",26.39,54.01,19.6,--,"174,000","174,000","174,000","174,000","51,000","102,000","37,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Nakhon Si Thammarat,18-24,Age
"Changwat Nakhon Si Thammarat, 25-34",26.83,55.92,17.25,--,"348,000","348,000","348,000","348,000","97,000","205,000","64,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Nakhon Si Thammarat,25-34,Age
"Changwat Nakhon Si Thammarat, 35-44",25.56,57.13,17.25,0.05,"224,000","224,000","224,000","224,000","60,000","133,000","41,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Nakhon Si Thammarat,35-44,Age
"Changwat Nakhon Si Thammarat, 45-54",22.32,60.28,17.4,--,"156,000","156,000","156,000","156,000","36,000","96,000","28,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Nakhon Si Thammarat,45-54,Age
"Changwat Nakhon Si Thammarat, 55-64",19.82,63.39,16.78,--,"105,000","105,000","105,000","105,000","22,000","68,000","18,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Nakhon Si Thammarat,55-64,Age
"Changwat Nakhon Si Thammarat, 65+",22.73,60.27,17.0,--,"64,000","64,000","64,000","64,000","15,000","40,000","11,000",120,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Nakhon Si Thammarat,65+,Age
"Changwat Phra Nakhon Si Ayutthaya, 13-17",38.46,45.35,16.19,--,"30,000","30,000","30,000","30,000","13,000","15,000","5,200",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Phra Nakhon Si Ayutthaya,13-17,Age
"Changwat Phra Nakhon Si Ayutthaya, 18-24",33.75,48.2,18.06,--,"125,000","125,000","125,000","125,000","45,000","65,000","24,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Phra Nakhon Si Ayutthaya,18-24,Age
"Changwat Phra Nakhon Si Ayutthaya, 25-34",31.56,52.13,16.32,--,"296,000","296,000","296,000","296,000","97,000","161,000","50,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Phra Nakhon Si Ayutthaya,25-34,Age
"Changwat Phra Nakhon Si Ayutthaya, 35-44",29.15,55.5,15.34,--,"202,000","202,000","202,000","202,000","60,000","116,000","32,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Phra Nakhon Si Ayutthaya,35-44,Age
"Changwat Phra Nakhon Si Ayutthaya, 45-54",25.36,59.39,15.24,--,"125,000","125,000","125,000","125,000","32,000","75,000","20,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Phra Nakhon Si Ayutthaya,45-54,Age
"Changwat Phra Nakhon Si Ayutthaya, 55-64",23.92,59.53,16.39,0.16,"72,000","72,000","72,000","72,000","17,000","45,000","13,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Phra Nakhon Si Ayutthaya,55-64,Age
"Changwat Phra Nakhon Si Ayutthaya, 65+",23.5,59.49,17.01,--,"40,000","40,000","40,000","40,000","8,900","24,000","6,900",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Phra Nakhon Si Ayutthaya,65+,Age
