System,Metric,Category,Area_type,TMH & DTAC-MB MKS,AIS-MB MKS,Total Market Size,PROVINCE_ENG,DISTRICT_EN
iOS,Age,13-17,District,0,0,350,Lamphun,Wiang Nong Long
iOS,Age,13-17,District,0,100,350,Roi Et,Thung Khao Luang
All OS,Age,13-17,District,36.73,63.27,360,Phayao,Chiang Muan
All OS,Age,13-17,District,100,0,360,Saraburi,Nong Don
All OS,Age,13-17,District,100,0,360,Chachoengsao,Khlong Khuean
Android,Age,13-17,District,0,51.85,360,Phayao,Chiang Muan
Android,Age,13-17,District,0,100,360,Saraburi,Nong Don
Android,Age,13-17,District,56.52,43.48,360,Chachoengsao,Khlong Khuean
iOS,Age,13-17,District,0,0,360,Phayao,Chiang Muan
iOS,Age,13-17,District,0,0,360,Saraburi,Nong Don
iOS,Age,13-17,District,0,0,360,Chachoengsao,Khlong Khuean
All OS,Age,13-17,District,40,60,370,Nong Khai,Pho Tak
All OS,Age,13-17,District,0,100,370,Trat,Ko Kut
Android,Age,13-17,District,0,100,370,Nong Khai,Pho Tak
Android,Age,13-17,District,0,100,370,Trat,Ko Kut
iOS,Age,13-17,District,0,0,370,Nong Khai,Pho Tak
iOS,Age,13-17,District,0,0,370,Trat,Ko Kut
All OS,Age,13-17,District,31.91,68.09,380,Udon Thani,Ku Kaeo
All OS,Age,13-17,District,31.58,68.42,380,Lampang,Mae Phrik
All OS,Age,13-17,District,46.43,53.57,380,Nakhon Si Thammarat,Phra Phrom
All OS,Age,13-17,District,51.22,48.78,380,Uttaradit,Fak Tha
Android,Age,13-17,District,0,100,380,Udon Thani,Ku Kaeo
Android,Age,13-17,District,0,58.62,380,Lampang,Mae Phrik
Android,Age,13-17,District,0,0,380,Nakhon Si Thammarat,Phra Phrom
Android,Age,13-17,District,0,100,380,Uttaradit,Fak Tha
iOS,Age,13-17,District,37.93,62.07,380,Udon Thani,Ku Kaeo
iOS,Age,13-17,District,0,100,380,Lampang,Mae Phrik
iOS,Age,13-17,District,100,0,380,Nakhon Si Thammarat,Phra Phrom
iOS,Age,13-17,District,100,0,380,Uttaradit,Fak Tha
All OS,Age,13-17,District,40,60,400,Nakhon Ratchasima,Mueang Yang
All OS,Age,13-17,District,39.47,60.53,400,Phra Nakhon Si Ayutthaya,Bang Zai
All OS,Age,13-17,District,30.95,69.05,400,Surat Thani,Vibhavadi
All OS,Age,13-17,District,50,50,400,Si Sa Ket,Bueng Bun
All OS,Age,13-17,District,55.82,44.19,400,Uttaradit,Ban Khok
Android,Age,13-17,District,0,55,400,Nakhon Ratchasima,Mueang Yang
Android,Age,13-17,District,0,48,400,Phra Nakhon Si Ayutthaya,Bang Zai
Android,Age,13-17,District,0,100,400,Surat Thani,Vibhavadi
Android,Age,13-17,District,0,100,400,Si Sa Ket,Bueng Bun
Android,Age,13-17,District,0,37.93,400,Uttaradit,Ban Khok
iOS,Age,13-17,District,0,100,400,Nakhon Ratchasima,Mueang Yang
iOS,Age,13-17,District,0,100,400,Phra Nakhon Si Ayutthaya,Bang Zai
iOS,Age,13-17,District,47.62,52.38,400,Surat Thani,Vibhavadi
iOS,Age,13-17,District,0,0,400,Si Sa Ket,Bueng Bun
iOS,Age,13-17,District,0,0,400,Uttaradit,Ban Khok
All OS,Age,13-17,District,36.67,63.33,410,Ubon Ratchathani,Nam Khun
All OS,Age,13-17,District,28.89,71.11,410,Songkhla,Krasae Sin
All OS,Age,13-17,District,48.15,51.85,410,,Mae Charim
All OS,Age,13-17,District,46.67,53.33,410,Bueng Kan,Bung Khla
All OS,Age,13-17,District,41.38,58.62,410,,Santi Suk
Android,Age,13-17,District,0,100,410,Ubon Ratchathani,Nam Khun
Android,Age,13-17,District,0,100,410,Songkhla,Krasae Sin
Android,Age,13-17,District,0,61.7,410,,Mae Charim
Android,Age,13-17,District,0,100,410,Bueng Kan,Bung Khla
Android,Age,13-17,District,0,100,410,,Santi Suk
iOS,Age,13-17,District,0,100,410,Ubon Ratchathani,Nam Khun
iOS,Age,13-17,District,52.38,47.62,410,Songkhla,Krasae Sin
iOS,Age,13-17,District,0,0,410,,Mae Charim
iOS,Age,13-17,District,0,0,410,Bueng Kan,Bung Khla
iOS,Age,13-17,District,0,0,410,,Santi Suk
All OS,Age,13-17,District,34.29,65.71,420,Chai Nat,Noen Kham
Android,Age,13-17,District,0,65.52,420,Chai Nat,Noen Kham
iOS,Age,13-17,District,0,0,420,Chai Nat,Noen Kham
All OS,Age,13-17,District,56.25,43.75,430,Chachoengsao,Tha Takiap
Android,Age,13-17,District,0,62.5,430,Chachoengsao,Tha Takiap
iOS,Age,13-17,District,0,0,430,Chachoengsao,Tha Takiap
All OS,Age,13-17,District,73.81,26.19,440,Phichit,Wang Sai Phun
All OS,Age,13-17,District,34.92,65.08,440,Nakhon Si Thammarat,Chulabhorn
All OS,Age,13-17,District,44.83,55.17,440,Nakhon Si Thammarat,Chaloem Phra Kiat
