System,Metric,Category,Area_type,TMH & DTAC-MB MKS,AIS-MB MKS,Total Market Size,PROVINCE_ENG,DISTRICT_EN
iOS,Age,45-54,District,58.06,41.94,1400,Krabi,Lam Thap
All OS,Age,45-54,District,43.05,56.95,1500,Chai Nat,Nong Mamong
All OS,Age,45-54,District,68.79,31.21,1500,Phichit,Wang Sai Phun
All OS,Age,45-54,District,46.88,53.13,1500,Kalasin,Sam Chai
All OS,Age,45-54,District,37.67,62.33,1500,Phayao,Chiang Muan
All OS,Age,45-54,District,23.17,76.83,1500,Yala,Yaha
All OS,Age,45-54,District,40.26,59.73,1500,Nakhon Si Thammarat,Nopphitam
All OS,Age,45-54,District,27.61,72.39,1500,Phangnga,Kapong
All OS,Age,45-54,District,20.88,79.11,1500,Narathiwat,Sukhirin
All OS,Age,45-54,District,36.73,63.27,1500,Kalasin,Na Khu
All OS,Age,45-54,District,37.09,62.9,1500,Nakhon Si Thammarat,Chaloem Phra Kiat
All OS,Age,45-54,District,41.61,58.39,1500,Ubon Ratchathani,Na Tan
All OS,Age,45-54,District,34.73,65.27,1500,Roi Et,Mueang Suang
All OS,Age,45-54,District,41.38,58.62,1500,Uthai Thani,Nong Khayang
All OS,Age,45-54,District,28.13,71.88,1500,Udon Thani,Nong Saeng
All OS,Age,45-54,District,23.18,76.82,1500,Nakhon Ratchasima,Thepharak
All OS,Age,45-54,District,28.06,71.94,1500,Nakhon Si Thammarat,Tham Phannara
All OS,Age,45-54,District,52.56,47.44,1500,Lamphun,Ban Thi
Android,Age,45-54,District,0,68.47,1500,Chai Nat,Nong Mamong
Android,Age,45-54,District,27.14,35,1500,Phichit,Wang Sai Phun
Android,Age,45-54,District,14.38,51.37,1500,Kalasin,Sam Chai
Android,Age,45-54,District,10.79,61.15,1500,Phayao,Chiang Muan
Android,Age,45-54,District,0,100,1500,Yala,Yaha
Android,Age,45-54,District,27.12,61.02,1500,Nakhon Si Thammarat,Nopphitam
Android,Age,45-54,District,8.06,75,1500,Phangnga,Kapong
Android,Age,45-54,District,0,82.14,1500,Narathiwat,Sukhirin
Android,Age,45-54,District,0,64.71,1500,Kalasin,Na Khu
Android,Age,45-54,District,17.83,68.99,1500,Nakhon Si Thammarat,Chaloem Phra Kiat
Android,Age,45-54,District,23.33,56.67,1500,Ubon Ratchathani,Na Tan
Android,Age,45-54,District,0,69.8,1500,Roi Et,Mueang Suang
Android,Age,45-54,District,18.75,62.5,1500,Uthai Thani,Nong Khayang
Android,Age,45-54,District,0,77.1,1500,Udon Thani,Nong Saeng
Android,Age,45-54,District,0,80.15,1500,Nakhon Ratchasima,Thepharak
Android,Age,45-54,District,0,78.76,1500,Nakhon Si Thammarat,Tham Phannara
Android,Age,45-54,District,26.77,40.94,1500,Lamphun,Ban Thi
iOS,Age,45-54,District,0,0,1500,Chai Nat,Nong Mamong
iOS,Age,45-54,District,100,0,1500,Phichit,Wang Sai Phun
iOS,Age,45-54,District,100,0,1500,Kalasin,Sam Chai
iOS,Age,45-54,District,0,0,1500,Phayao,Chiang Muan
iOS,Age,45-54,District,0,100,1500,Yala,Yaha
iOS,Age,45-54,District,51.52,48.48,1500,Nakhon Si Thammarat,Nopphitam
iOS,Age,45-54,District,0,100,1500,Phangnga,Kapong
iOS,Age,45-54,District,0,0,1500,Narathiwat,Sukhirin
iOS,Age,45-54,District,100,0,1500,Kalasin,Na Khu
iOS,Age,45-54,District,0,0,1500,Nakhon Si Thammarat,Chaloem Phra Kiat
iOS,Age,45-54,District,0,100,1500,Ubon Ratchathani,Na Tan
iOS,Age,45-54,District,0,100,1500,Roi Et,Mueang Suang
iOS,Age,45-54,District,42.31,57.69,1500,Uthai Thani,Nong Khayang
iOS,Age,45-54,District,0,100,1500,Udon Thani,Nong Saeng
iOS,Age,45-54,District,0,0,1500,Nakhon Ratchasima,Thepharak
iOS,Age,45-54,District,0,100,1500,Nakhon Si Thammarat,Tham Phannara
iOS,Age,45-54,District,55.56,44.44,1500,Lamphun,Ban Thi
All OS,Age,45-54,District,48.79,51.2,1600,Nakhon Ratchasima,Bua Lai
All OS,Age,45-54,District,57.67,42.33,1600,Phichit,Sak Lek
All OS,Age,45-54,District,27.88,72.12,1600,Narathiwat,Bacho
All OS,Age,45-54,District,35.92,64.07,1600,Si Sa Ket,Si Rattana
All OS,Age,45-54,District,52.87,47.13,1600,Lamphun,Wiang Nong Long
All OS,Age,45-54,District,54.97,45.03,1600,Khon Kaen,Nong Na Kham
All OS,Age,45-54,District,51.8,48.19,1600,Phra Nakhon Si Ayutthaya,Bang Zai
All OS,Age,45-54,District,53.41,46.59,1600,Ubon Ratchathani,Tan Sum
All OS,Age,45-54,District,45.63,54.38,1600,Roi Et,Chiang Khwan
All OS,Age,45-54,District,40,60,1600,Chiang Mai,Mae Wang
All OS,Age,45-54,District,39.38,60.63,1600,Narathiwat,Cho-airong
All OS,Age,45-54,District,34.91,65.09,1600,Surin,Lamduan
All OS,Age,45-54,District,45.45,54.55,1600,Mae Hong Son,Khun Yuam
All OS,Age,45-54,District,47.7,52.3,1600,Chachoengsao,Ratchasan
All OS,Age,45-54,District,27.01,72.99,1600,Udon Thani,Phibun Rak
All OS,Age,45-54,District,43.79,56.21,1600,Sing Buri,Tha Chang
All OS,Age,45-54,District,42.42,57.58,1600,Yasothon,Thai Charoen
Android,Age,45-54,District,8.93,54.76,1600,Nakhon Ratchasima,Bua Lai
Android,Age,45-54,District,27.33,42.67,1600,Phichit,Sak Lek
Android,Age,45-54,District,7.86,74.29,1600,Narathiwat,Bacho
Android,Age,45-54,District,10.76,63.92,1600,Si Sa Ket,Si Rattana
Android,Age,45-54,District,12.31,48.46,1600,Lamphun,Wiang Nong Long
Android,Age,45-54,District,27.7,40.54,1600,Khon Kaen,Nong Na Kham
Android,Age,45-54,District,12.7,53.17,1600,Phra Nakhon Si Ayutthaya,Bang Zai
Android,Age,45-54,District,34.44,40.4,1600,Ubon Ratchathani,Tan Sum
Android,Age,45-54,District,10.16,54.69,1600,Roi Et,Chiang Khwan
Android,Age,45-54,District,11.27,58.45,1600,Chiang Mai,Mae Wang
Android,Age,45-54,District,21.95,60.16,1600,Narathiwat,Cho-airong
Android,Age,45-54,District,13.57,66.43,1600,Surin,Lamduan
Android,Age,45-54,District,0,47.54,1600,Mae Hong Son,Khun Yuam
Android,Age,45-54,District,17.56,61.83,1600,Chachoengsao,Ratchasan
Android,Age,45-54,District,0,84.62,1600,Udon Thani,Phibun Rak
Android,Age,45-54,District,16.8,65.6,1600,Sing Buri,Tha Chang
Android,Age,45-54,District,14.29,59.63,1600,Yasothon,Thai Charoen
iOS,Age,45-54,District,100,0,1600,Nakhon Ratchasima,Bua Lai
iOS,Age,45-54,District,100,0,1600,Phichit,Sak Lek
iOS,Age,45-54,District,0,100,1600,Narathiwat,Bacho
iOS,Age,45-54,District,0,100,1600,Si Sa Ket,Si Rattana
iOS,Age,45-54,District,51.43,48.57,1600,Lamphun,Wiang Nong Long
iOS,Age,45-54,District,0,0,1600,Khon Kaen,Nong Na Kham
iOS,Age,45-54,District,0,100,1600,Phra Nakhon Si Ayutthaya,Bang Zai
iOS,Age,45-54,District,100,0,1600,Ubon Ratchathani,Tan Sum
iOS,Age,45-54,District,0,0,1600,Roi Et,Chiang Khwan
iOS,Age,45-54,District,0,100,1600,Chiang Mai,Mae Wang
iOS,Age,45-54,District,37.14,62.86,1600,Narathiwat,Cho-airong
iOS,Age,45-54,District,0,100,1600,Surin,Lamduan
iOS,Age,45-54,District,0,100,1600,Mae Hong Son,Khun Yuam
iOS,Age,45-54,District,58.06,41.94,1600,Chachoengsao,Ratchasan
iOS,Age,45-54,District,100,0,1600,Udon Thani,Phibun Rak
iOS,Age,45-54,District,0,100,1600,Sing Buri,Tha Chang
iOS,Age,45-54,District,0,0,1600,Yasothon,Thai Charoen
All OS,Age,45-54,District,53.57,46.43,1700,Satun,Thung Wa
All OS,Age,45-54,District,14.37,85.63,1700,Yala,Than To
All OS,Age,45-54,District,30.82,69.19,1700,Chiang Mai,Wiang Haeng
All OS,Age,45-54,District,23.67,76.33,1700,Nakhon Si Thammarat,Na Bon
All OS,Age,45-54,District,41.98,58.01,1700,Si Sa Ket,Wang Hin
All OS,Age,45-54,District,53.05,46.95,1700,Chiang Rai,Mae Lao
All OS,Age,45-54,District,57.14,42.86,1700,Khon Kaen,Non Sila
All OS,Age,45-54,District,44.91,55.09,1700,Si Sa Ket,Pho Si Suwan
All OS,Age,45-54,District,29.77,70.22,1700,Loei,Phu Luang
All OS,Age,45-54,District,34.76,65.24,1700,Roi Et,Moei Wadi
All OS,Age,45-54,District,22.8,77.19,1700,Lop Buri,Khok Charoen
All OS,Age,45-54,District,36.36,63.64,1700,Nakhon Ratchasima,Lam Thamenchai
All OS,Age,45-54,District,34.97,65.03,1700,Chai Nat,Wat Sing
All OS,Age,45-54,District,38.86,61.14,1700,Kalasin,Rong Kham
Android,Age,45-54,District,35.29,42.48,1700,Satun,Thung Wa
Android,Age,45-54,District,0,100,1700,Yala,Than To
Android,Age,45-54,District,0,72.48,1700,Chiang Mai,Wiang Haeng
Android,Age,45-54,District,8.16,76.19,1700,Nakhon Si Thammarat,Na Bon
Android,Age,45-54,District,17.22,60.93,1700,Si Sa Ket,Wang Hin
Android,Age,45-54,District,26.57,48.25,1700,Chiang Rai,Mae Lao
Android,Age,45-54,District,26.28,46.15,1700,Khon Kaen,Non Sila
Android,Age,45-54,District,20.37,52.47,1700,Si Sa Ket,Pho Si Suwan
Android,Age,45-54,District,0,82.43,1700,Loei,Phu Luang
Android,Age,45-54,District,0,77.44,1700,Roi Et,Moei Wadi
Android,Age,45-54,District,10.69,78.62,1700,Lop Buri,Khok Charoen
Android,Age,45-54,District,11.95,64.15,1700,Nakhon Ratchasima,Lam Thamenchai
Android,Age,45-54,District,7.69,69.87,1700,Chai Nat,Wat Sing
Android,Age,45-54,District,5.88,65.88,1700,Kalasin,Rong Kham
iOS,Age,45-54,District,100,0,1700,Satun,Thung Wa
iOS,Age,45-54,District,56.52,43.48,1700,Yala,Than To
iOS,Age,45-54,District,0,100,1700,Chiang Mai,Wiang Haeng
iOS,Age,45-54,District,0,100,1700,Nakhon Si Thammarat,Na Bon
iOS,Age,45-54,District,0,0,1700,Si Sa Ket,Wang Hin
iOS,Age,45-54,District,0,100,1700,Chiang Rai,Mae Lao
iOS,Age,45-54,District,50,50,1700,Khon Kaen,Non Sila
iOS,Age,45-54,District,0,100,1700,Si Sa Ket,Pho Si Suwan
iOS,Age,45-54,District,0,0,1700,Loei,Phu Luang
iOS,Age,45-54,District,0,0,1700,Roi Et,Moei Wadi
iOS,Age,45-54,District,0,0,1700,Lop Buri,Khok Charoen
iOS,Age,45-54,District,0,0,1700,Nakhon Ratchasima,Lam Thamenchai
iOS,Age,45-54,District,0,0,1700,Chai Nat,Wat Sing
iOS,Age,45-54,District,0,100,1700,Kalasin,Rong Kham
All OS,Age,45-54,District,20.33,79.67,1800,Surat Thani,Ban Ta Khun
All OS,Age,45-54,District,49.41,50.59,1800,Maha Sarakham,Chuen Chom
All OS,Age,45-54,District,31.87,68.13,1800,Ubon Ratchathani,Pho Sai
All OS,Age,45-54,District,20.96,79.04,1800,,Chiang Klang
All OS,Age,45-54,District,31.98,68.02,1800,Yasothon,Sai Mun
All OS,Age,45-54,District,39.79,60.21,1800,Sakon Nakhon,Tao Ngoi
All OS,Age,45-54,District,55.44,44.57,1800,Khon Kaen,Sam Sung
All OS,Age,45-54,District,52.43,47.57,1800,Mukdahan,Wan Yai
Android,Age,45-54,District,0,87.7,1800,Surat Thani,Ban Ta Khun
Android,Age,45-54,District,19.41,52.94,1800,Maha Sarakham,Chuen Chom
Android,Age,45-54,District,9.41,70.59,1800,Ubon Ratchathani,Pho Sai
Android,Age,45-54,District,0,81.54,1800,,Chiang Klang
Android,Age,45-54,District,0,68.26,1800,Yasothon,Sai Mun
Android,Age,45-54,District,8.13,60.63,1800,Sakon Nakhon,Tao Ngoi
Android,Age,45-54,District,23.53,48.53,1800,Khon Kaen,Sam Sung
Android,Age,45-54,District,14.29,44.57,1800,Mukdahan,Wan Yai
iOS,Age,45-54,District,43.14,56.86,1800,Surat Thani,Ban Ta Khun
iOS,Age,45-54,District,0,0,1800,Maha Sarakham,Chuen Chom
iOS,Age,45-54,District,0,0,1800,Ubon Ratchathani,Pho Sai
iOS,Age,45-54,District,0,100,1800,,Chiang Klang
iOS,Age,45-54,District,100,0,1800,Yasothon,Sai Mun
iOS,Age,45-54,District,0,100,1800,Sakon Nakhon,Tao Ngoi
iOS,Age,45-54,District,100,0,1800,Khon Kaen,Sam Sung
iOS,Age,45-54,District,0,0,1800,Mukdahan,Wan Yai
All OS,Age,45-54,District,32.56,67.44,1900,Ranong,La-un
All OS,Age,45-54,District,55.45,44.55,1900,Trat,Khlong Yai
All OS,Age,45-54,District,41.2,58.79,1900,,Thung Chang
All OS,Age,45-54,District,38.5,61.5,1900,Chiang Mai,Chai Prakan
All OS,Age,45-54,District,43.72,56.28,1900,Nakhon Ratchasima,Kaeng Sanam g
All OS,Age,45-54,District,29.47,70.53,1900,Sakon Nakhon,Kut Bak
All OS,Age,45-54,District,37.56,62.44,1900,Phetchabun,Nam Nao
All OS,Age,45-54,District,36.7,63.3,1900,Nakhon Ratchasima,Phra Thong Kham
All OS,Age,45-54,District,28.79,71.21,1900,Pattani,Panare
All OS,Age,45-54,District,41.75,58.26,1900,Sakon Nakhon,Phon Na Kaeo
All OS,Age,45-54,District,28.2,71.79,1900,Buri Ram,Ban Mai Chaiyaphot
All OS,Age,45-54,District,51.28,48.72,1900,Phichit,Bueng Na Rang
All OS,Age,45-54,District,16.93,83.08,1900,Kanchanaburi,Si Sawat
All OS,Age,45-54,District,50.25,49.76,1900,Lampang,Sop Prap
All OS,Age,45-54,District,33.33,66.67,1900,Sakon Nakhon,Khok Si Suphan
Android,Age,45-54,District,15.48,67.86,1900,Ranong,La-un
Android,Age,45-54,District,28.57,43.54,1900,Trat,Khlong Yai
Android,Age,45-54,District,14.89,66.67,1900,,Thung Chang
Android,Age,45-54,District,12.58,67.92,1900,Chiang Mai,Chai Prakan
Android,Age,45-54,District,14.18,65.25,1900,Nakhon Ratchasima,Kaeng Sanam g
Android,Age,45-54,District,5.59,74.3,1900,Sakon Nakhon,Kut Bak
Android,Age,45-54,District,6.6,63.45,1900,Phetchabun,Nam Nao
Android,Age,45-54,District,10.17,65.54,1900,Nakhon Ratchasima,Phra Thong Kham
Android,Age,45-54,District,15.63,71.25,1900,Pattani,Panare
Android,Age,45-54,District,6.04,65.38,1900,Sakon Nakhon,Phon Na Kaeo
Android,Age,45-54,District,0,78.34,1900,Buri Ram,Ban Mai Chaiyaphot
Android,Age,45-54,District,17.01,49.48,1900,Phichit,Bueng Na Rang
Android,Age,45-54,District,0,89.29,1900,Kanchanaburi,Si Sawat
Android,Age,45-54,District,13.51,55.41,1900,Lampang,Sop Prap
Android,Age,45-54,District,0,65.06,1900,Sakon Nakhon,Khok Si Suphan
iOS,Age,45-54,District,0,0,1900,Ranong,La-un
iOS,Age,45-54,District,45.45,54.55,1900,Trat,Khlong Yai
iOS,Age,45-54,District,52,48,1900,,Thung Chang
iOS,Age,45-54,District,47.62,52.38,1900,Chiang Mai,Chai Prakan
iOS,Age,45-54,District,0,100,1900,Nakhon Ratchasima,Kaeng Sanam g
iOS,Age,45-54,District,0,0,1900,Sakon Nakhon,Kut Bak
iOS,Age,45-54,District,0,100,1900,Phetchabun,Nam Nao
iOS,Age,45-54,District,0,0,1900,Nakhon Ratchasima,Phra Thong Kham
iOS,Age,45-54,District,0,100,1900,Pattani,Panare
iOS,Age,45-54,District,0,100,1900,Sakon Nakhon,Phon Na Kaeo
iOS,Age,45-54,District,41.67,58.33,1900,Buri Ram,Ban Mai Chaiyaphot
iOS,Age,45-54,District,61.54,38.46,1900,Phichit,Bueng Na Rang
iOS,Age,45-54,District,41.67,58.33,1900,Kanchanaburi,Si Sawat
iOS,Age,45-54,District,0,100,1900,Lampang,Sop Prap
iOS,Age,45-54,District,43.59,56.41,1900,Sakon Nakhon,Khok Si Suphan
All OS,Age,45-54,District,29.91,70.09,2000,Surin,Non Narai
All OS,Age,45-54,District,22.51,77.49,2000,Roi Et,Phon Sai
All OS,Age,45-54,District,15.27,84.73,2000,Sa Kaeo,Wang Sombun
All OS,Age,45-54,District,33.86,66.14,2000,Rayong,Wang Chan
All OS,Age,45-54,District,34.06,65.93,2000,Nakhon Sawan,Kao Liao
All OS,Age,45-54,District,29.21,70.79,2000,Narathiwat,Waeng
All OS,Age,45-54,District,38.5,61.5,2000,Roi Et,Si Somdet
All OS,Age,45-54,District,28.72,71.28,2000,Lampang,Mueang Pan
All OS,Age,45-54,District,22.53,77.46,2000,Phatthalung,Kong Ra
All OS,Age,45-54,District,16.27,83.73,2000,Tak,Tha Song Yang
All OS,Age,45-54,District,30.66,69.35,2000,Phatthalung,Bang Kaeo
All OS,Age,45-54,District,35.57,64.43,2000,Buri Ram,Khaen Dong
All OS,Age,45-54,District,39.59,60.41,2000,Bueng Kan,Si Wilai
All OS,Age,45-54,District,27.41,72.59,2000,Nakhon Ratchasima,Kham Sakaesaeng
All OS,Age,45-54,District,43.79,56.22,2000,Mukdahan,Nong Sung
All OS,Age,45-54,District,22.05,77.95,2000,Udon Thani,Sang Khom
All OS,Age,45-54,District,53.03,46.97,2000,Amnat Charoen,Lue Amnat
All OS,Age,45-54,District,38.14,61.86,2000,Udon Thani,Na Yung
All OS,Age,45-54,District,28.64,71.36,2000,Chiang Mai,Mae Chaem
All OS,Age,45-54,District,36.91,63.09,2000,Phangnga,Khura Buri
All OS,Age,45-54,District,15.22,84.78,2000,Pattani,Mayo
Android,Age,45-54,District,8.74,70.87,2000,Surin,Non Narai
Android,Age,45-54,District,6.01,71.04,2000,Roi Et,Phon Sai
Android,Age,45-54,District,0,85.14,2000,Sa Kaeo,Wang Sombun
Android,Age,45-54,District,13.77,67.66,2000,Rayong,Wang Chan
Android,Age,45-54,District,16.13,65.05,2000,Nakhon Sawan,Kao Liao
Android,Age,45-54,District,8.15,69.57,2000,Narathiwat,Waeng
Android,Age,45-54,District,10.61,63.13,2000,Roi Et,Si Somdet
Android,Age,45-54,District,0,75.29,2000,Lampang,Mueang Pan
Android,Age,45-54,District,0,83.23,2000,Phatthalung,Kong Ra
Android,Age,45-54,District,0,84.62,2000,Tak,Tha Song Yang
Android,Age,45-54,District,7.65,66.67,2000,Phatthalung,Bang Kaeo
Android,Age,45-54,District,0,61.82,2000,Buri Ram,Khaen Dong
Android,Age,45-54,District,10.17,61.02,2000,Bueng Kan,Si Wilai
Android,Age,45-54,District,5.91,69.35,2000,Nakhon Ratchasima,Kham Sakaesaeng
Android,Age,45-54,District,16.85,55.06,2000,Mukdahan,Nong Sung
Android,Age,45-54,District,8.08,71.72,2000,Udon Thani,Sang Khom
Android,Age,45-54,District,18.85,47.64,2000,Amnat Charoen,Lue Amnat
Android,Age,45-54,District,0,69.66,2000,Udon Thani,Na Yung
Android,Age,45-54,District,0,79.17,2000,Chiang Mai,Mae Chaem
Android,Age,45-54,District,14.93,58.21,2000,Phangnga,Khura Buri
Android,Age,45-54,District,9.84,79.23,2000,Pattani,Mayo
iOS,Age,45-54,District,0,0,2000,Surin,Non Narai
iOS,Age,45-54,District,0,100,2000,Roi Et,Phon Sai
iOS,Age,45-54,District,0,100,2000,Sa Kaeo,Wang Sombun
iOS,Age,45-54,District,28.57,71.43,2000,Rayong,Wang Chan
iOS,Age,45-54,District,0,0,2000,Nakhon Sawan,Kao Liao
iOS,Age,45-54,District,0,100,2000,Narathiwat,Waeng
iOS,Age,45-54,District,55.88,44.12,2000,Roi Et,Si Somdet
iOS,Age,45-54,District,0,100,2000,Lampang,Mueang Pan
iOS,Age,45-54,District,0,100,2000,Phatthalung,Kong Ra
iOS,Age,45-54,District,0,100,2000,Tak,Tha Song Yang
iOS,Age,45-54,District,59.52,40.48,2000,Phatthalung,Bang Kaeo
iOS,Age,45-54,District,50,50,2000,Buri Ram,Khaen Dong
iOS,Age,45-54,District,0,100,2000,Bueng Kan,Si Wilai
iOS,Age,45-54,District,0,100,2000,Nakhon Ratchasima,Kham Sakaesaeng
iOS,Age,45-54,District,0,0,2000,Mukdahan,Nong Sung
iOS,Age,45-54,District,0,100,2000,Udon Thani,Sang Khom
iOS,Age,45-54,District,100,0,2000,Amnat Charoen,Lue Amnat
iOS,Age,45-54,District,0,100,2000,Udon Thani,Na Yung
iOS,Age,45-54,District,51.28,48.72,2000,Chiang Mai,Mae Chaem
iOS,Age,45-54,District,52.94,47.06,2000,Phangnga,Khura Buri
iOS,Age,45-54,District,0,100,2000,Pattani,Mayo
All OS,Age,45-54,District,24.66,75.34,2100,Sakon Nakhon,Song Dao
All OS,Age,45-54,District,42.63,57.37,2100,Sukhothai,Si Nakhon
All OS,Age,45-54,District,42.85,57.14,2100,Phichit,Wachirabarami
All OS,Age,45-54,District,11.92,88.08,2100,Tak,Umphang
All OS,Age,45-54,District,32.7,67.3,2100,Loei,Tha Li
All OS,Age,45-54,District,20.28,79.72,2100,Lampang,Soem Ngam
All OS,Age,45-54,District,30.05,69.95,2100,Maha Sarakham,Yang Sisurat
All OS,Age,45-54,District,37.93,62.07,2100,Ranong,Kapoe
All OS,Age,45-54,District,45.07,54.93,2100,Ratchaburi,Damnoen Saduak
All OS,Age,45-54,District,50.7,49.31,2100,Si Sa Ket,Yang Chum Noi
All OS,Age,45-54,District,30.31,69.7,2100,Khon Kaen,Waeng Yai
All OS,Age,45-54,District,45.9,54.11,2100,Buri Ram,Non Suwan
All OS,Age,45-54,District,40.36,59.63,2100,Chiang Rai,Wiang Kaen
All OS,Age,45-54,District,57.4,42.59,2100,Buri Ram,Ban Dan
All OS,Age,45-54,District,32.7,67.3,2100,Surat Thani,Ban Na Doem
All OS,Age,45-54,District,19.47,80.53,2100,Lop Buri,Tha Luang
All OS,Age,45-54,District,41.82,58.18,2100,Surin,Khwao Sin Rin
All OS,Age,45-54,District,29.72,70.28,2100,Saraburi,Wang Muang
All OS,Age,45-54,District,15.72,84.29,2100,Kanchanaburi,Sangkhla Buri
All OS,Age,45-54,District,29.01,70.98,2100,Nakhon Si Thammarat,Lan Saka
Android,Age,45-54,District,0,82.01,2100,Sakon Nakhon,Song Dao
Android,Age,45-54,District,17.99,54.5,2100,Sukhothai,Si Nakhon
Android,Age,45-54,District,9.34,56.04,2100,Phichit,Wachirabarami
Android,Age,45-54,District,0,87.5,2100,Tak,Umphang
Android,Age,45-54,District,5.34,70.39,2100,Loei,Tha Li
Android,Age,45-54,District,9.84,77.6,2100,Lampang,Soem Ngam
Android,Age,45-54,District,7.57,71.35,2100,Maha Sarakham,Yang Sisurat
Android,Age,45-54,District,8.89,65.56,2100,Ranong,Kapoe
Android,Age,45-54,District,28.34,54.01,2100,Ratchaburi,Damnoen Saduak
Android,Age,45-54,District,20.1,51.47,2100,Si Sa Ket,Yang Chum Noi
Android,Age,45-54,District,6.28,71.2,2100,Khon Kaen,Waeng Yai
Android,Age,45-54,District,10.67,56.74,2100,Buri Ram,Non Suwan
Android,Age,45-54,District,11.58,65.79,2100,Chiang Rai,Wiang Kaen
Android,Age,45-54,District,27.23,39.6,2100,Buri Ram,Ban Dan
Android,Age,45-54,District,15.25,69.49,2100,Surat Thani,Ban Na Doem
Android,Age,45-54,District,0,88.11,2100,Lop Buri,Tha Luang
Android,Age,45-54,District,16.67,57.58,2100,Surin,Khwao Sin Rin
Android,Age,45-54,District,11.58,70.53,2100,Saraburi,Wang Muang
Android,Age,45-54,District,11.52,88.48,2100,Kanchanaburi,Sangkhla Buri
Android,Age,45-54,District,12.23,75,2100,Nakhon Si Thammarat,Lan Saka
iOS,Age,45-54,District,0,0,2100,Sakon Nakhon,Song Dao
iOS,Age,45-54,District,28.89,71.11,2100,Sukhothai,Si Nakhon
iOS,Age,45-54,District,34.48,65.52,2100,Phichit,Wachirabarami
iOS,Age,45-54,District,100,0,2100,Tak,Umphang
iOS,Age,45-54,District,44,56,2100,Loei,Tha Li
iOS,Age,45-54,District,0,100,2100,Lampang,Soem Ngam
iOS,Age,45-54,District,0,100,2100,Maha Sarakham,Yang Sisurat
iOS,Age,45-54,District,46.15,53.85,2100,Ranong,Kapoe
iOS,Age,45-54,District,34.88,65.12,2100,Ratchaburi,Damnoen Saduak
iOS,Age,45-54,District,0,0,2100,Si Sa Ket,Yang Chum Noi
iOS,Age,45-54,District,0,100,2100,Khon Kaen,Waeng Yai
iOS,Age,45-54,District,0,0,2100,Buri Ram,Non Suwan
iOS,Age,45-54,District,60.61,39.39,2100,Chiang Rai,Wiang Kaen
iOS,Age,45-54,District,100,0,2100,Buri Ram,Ban Dan
iOS,Age,45-54,District,0,100,2100,Surat Thani,Ban Na Doem
iOS,Age,45-54,District,42.86,57.14,2100,Lop Buri,Tha Luang
iOS,Age,45-54,District,100,0,2100,Surin,Khwao Sin Rin
iOS,Age,45-54,District,0,100,2100,Saraburi,Wang Muang
iOS,Age,45-54,District,32.35,67.65,2100,Kanchanaburi,Sangkhla Buri
iOS,Age,45-54,District,32.26,67.74,2100,Nakhon Si Thammarat,Lan Saka
All OS,Age,45-54,District,38.29,61.71,2200,Ang Thong,Samko
All OS,Age,45-54,District,48.47,51.53,2200,Songkhla,Na Mom
All OS,Age,45-54,District,35.9,64.1,2200,Uttaradit,Thong Saen Khan
All OS,Age,45-54,District,13.93,86.07,2200,Suphan Buri,Don Chedi
All OS,Age,45-54,District,29.03,70.97,2200,Uthai Thani,Sawang Arom
All OS,Age,45-54,District,27.62,72.38,2200,Chumphon,Lamae
All OS,Age,45-54,District,35.24,64.76,2200,Loei,Nong Hin
All OS,Age,45-54,District,39.13,60.87,2200,Si Sa Ket,Phayu
All OS,Age,45-54,District,47,53,2200,Si Sa Ket,Non Khun
All OS,Age,45-54,District,48.86,51.14,2200,Amnat Charoen,Hua Taphan
All OS,Age,45-54,District,22.51,77.49,2200,Surat Thani,Chai Buri
All OS,Age,45-54,District,55.61,44.39,2200,Khon Kaen,Ban Haet
All OS,Age,45-54,District,15.53,84.47,2200,Phetchaburi,Kaeng Krachan
All OS,Age,45-54,District,31.46,68.54,2200,Chiang Mai,Hot
All OS,Age,45-54,District,41.74,58.26,2200,Phangnga,Ko Yao
All OS,Age,45-54,District,56.74,43.26,2200,Yasothon,Kho Wang
All OS,Age,45-54,District,20.18,79.82,2200,Surin,Phanom Dong Rak
All OS,Age,45-54,District,17.54,82.46,2200,Narathiwat,Si Sakhon
Android,Age,45-54,District,12.5,75,2200,Ang Thong,Samko
Android,Age,45-54,District,24.08,53.4,2200,Songkhla,Na Mom
Android,Age,45-54,District,11.63,60,2200,Uttaradit,Thong Saen Khan
Android,Age,45-54,District,0,89.71,2200,Suphan Buri,Don Chedi
Android,Age,45-54,District,0,75.92,2200,Uthai Thani,Sawang Arom
Android,Age,45-54,District,9.71,75.43,2200,Chumphon,Lamae
Android,Age,45-54,District,9.26,68.98,2200,Loei,Nong Hin
Android,Age,45-54,District,8.46,64.18,2200,Si Sa Ket,Phayu
Android,Age,45-54,District,21.29,51.49,2200,Si Sa Ket,Non Khun
Android,Age,45-54,District,13.29,54.91,2200,Amnat Charoen,Hua Taphan
Android,Age,45-54,District,0,87.43,2200,Surat Thani,Chai Buri
Android,Age,45-54,District,24.51,42.65,2200,Khon Kaen,Ban Haet
Android,Age,45-54,District,4.93,79.31,2200,Phetchaburi,Kaeng Krachan
Android,Age,45-54,District,6.95,71.66,2200,Chiang Mai,Hot
Android,Age,45-54,District,19.25,58.82,2200,Phangnga,Ko Yao
Android,Age,45-54,District,24.87,46.7,2200,Yasothon,Kho Wang
