AREA_TYPE,AREA_CD,AREA_NAME,ACTUAL_SUBS,TARGET_SUBS,%ACH_SUBS,ACTUAL_GA,TARGET_GA,%ACH_GA,ACTUAL_GA_INSTALL,TARGET_GA_INSTALL,%ACH_GA_INSTALL
H,65X,Phitsanulok;Uttaradit,55549.0,,,612.0,840.0,72.85714285714285,737.0,,
H,67X,Phetchabun;Phichit,40087.0,,,326.0,480.0,67.91666666666667,379.0,,
H,70X,Ratchaburi;Samut Songkhram,35021.0,,,736.0,682.0,107.91788856304984,454.0,,
H,71X,Kanchanaburi;Suphan Buri,30892.0,,,432.0,540.0,80.0,386.0,,
H,73Z,Nakhon Pathom,47504.0,,,529.0,570.0,92.80701754385964,637.0,,
H,74Z,Samut Sakhon,37178.0,,,505.0,480.0,105.20833333333333,442.0,,
H,76X,Prachuap Khiri Khan;Phetchaburi,40651.0,,,586.0,720.0,81.38888888888889,674.0,,
H,80Z,Nakhon Si Thammarat,37609.0,,,538.0,810.0,66.41975308641975,693.0,,
H,81X,Krabi;Phangnga,21009.0,,,199.0,360.0,55.27777777777778,286.0,,
H,83Z,Phuket,43966.0,,,567.0,638.0,88.87147335423198,640.0,,
H,84Z,Surat Thani,41364.0,,,597.0,840.0,71.07142857142857,688.0,,
H,86X,Ranong;Chumphon,18465.0,,,202.0,360.0,56.111111111111114,243.0,,
H,90Z,Songkhla,56849.0,,,700.0,810.0,86.41975308641975,918.0,,
H,93X,Trang;Satun;Phatthalung,33263.0,,,374.0,570.0,65.6140350877193,493.0,,
H,96X,Pattani;Yala;Narathiwat,29939.0,,,490.0,580.0,84.48275862068965,625.0,,
CCAA,1001,BANGKOK_PHRA NAKHON,,,,3.0,,,23.0,,
CCAA,1002,BANGKOK_DUSIT,,,,15.0,,,54.0,,
CCAA,1003,BANGKOK_NONG CHOK,,,,35.0,,,136.0,,
CCAA,1004,BANGKOK_BANG RAK,,,,285.0,,,124.0,,
CCAA,1005,BANGKOK_BANG KHEN,,,,164.0,,,218.0,,
CCAA,1006,BANGKOK_BANG KAPI,,,,309.0,,,275.0,,
CCAA,1007,BANGKOK_PATHUM WAN,,,,226.0,,,110.0,,
CCAA,1008,BANGKOK_POM PRAP SATTRU PHAI,,,,,,,13.0,,
CCAA,1009,BANGKOK_PHRA KHANONG,,,,407.0,,,169.0,,
CCAA,1010,BANGKOK_MIN BURI,,,,66.0,,,118.0,,
CCAA,1011,BANGKOK_LAT KRABANG,,,,341.0,,,179.0,,
CCAA,1012,BANGKOK_YAN NAWA,,,,323.0,,,85.0,,
CCAA,1013,BANGKOK_SAMPHANTHAWONG,,,,,,,14.0,,
CCAA,1014,BANGKOK_PHAYA THAI,,,,8.0,,,105.0,,
CCAA,1015,BANGKOK_THON BURI,,,,146.0,,,66.0,,
CCAA,1016,BANGKOK_BANGKOK YAI,,,,180.0,,,48.0,,
CCAA,1017,BANGKOK_HUAI KHWANG,,,,320.0,,,407.0,,
CCAA,1018,BANGKOK_KHLONG SAN,,,,15.0,,,72.0,,
CCAA,1019,BANGKOK_TALING CHAN,,,,94.0,,,62.0,,
CCAA,1020,BANGKOK_BANGKOK NOI,,,,119.0,,,70.0,,
CCAA,1021,BANGKOK_BANG KHUN THIAN,,,,1034.0,,,183.0,,
CCAA,1022,BANGKOK_PHASI CHAROEN,,,,61.0,,,106.0,,
CCAA,1023,BANGKOK_NONG KHAEM,,,,126.0,,,123.0,,
CCAA,1024,BANGKOK_RAT BURANA,,,,38.0,,,62.0,,
CCAA,1025,BANGKOK_BANG PHLAT,,,,55.0,,,110.0,,
CCAA,1026,BANGKOK_DIN DAENG,,,,237.0,,,151.0,,
CCAA,1027,BANGKOK_BUENG KUM,,,,158.0,,,84.0,,
CCAA,1028,BANGKOK_SATHON,,,,3.0,,,126.0,,
CCAA,1029,BANGKOK_BANG SUE,,,,88.0,,,181.0,,
CCAA,1030,BANGKOK_CHATUCHAK,,,,478.0,,,298.0,,
CCAA,1031,BANGKOK_BANG KHO LAEM,,,,5.0,,,49.0,,
CCAA,1032,BANGKOK_PRAWET,,,,643.0,,,188.0,,
CCAA,1033,BANGKOK_KHLONG TOEI,,,,207.0,,,434.0,,
CCAA,1034,BANGKOK_SUAN LUANG,,,,8.0,,,205.0,,
CCAA,1035,BANGKOK_CHOM THONG,,,,424.0,,,78.0,,
CCAA,1036,BANGKOK_DON MUEANG,,,,212.0,,,149.0,,
CCAA,1037,BANGKOK_RATCHATHEWI,,,,3.0,,,196.0,,
CCAA,1038,BANGKOK_LAT PHRAO,,,,183.0,,,96.0,,
CCAA,1039,BANGKOK_VADHANA,,,,498.0,,,559.0,,
CCAA,1040,BANGKOK_BANG KHAE,,,,94.0,,,125.0,,
CCAA,1041,BANGKOK_LAK SI,,,,39.0,,,106.0,,
CCAA,1042,BANGKOK_SAI MAI,,,,132.0,,,172.0,,
CCAA,1043,BANGKOK_KHAN NA YAO,,,,400.0,,,96.0,,
CCAA,1044,BANGKOK_SAPHAN SUNG,,,,23.0,,,74.0,,
CCAA,1045,BANGKOK_WANG THONGLANG,,,,144.0,,,129.0,,
CCAA,1046,BANGKOK_KHLONG SAM WA,,,,29.0,,,488.0,,
CCAA,1047,BANGKOK_BANG NA,,,,129.0,,,196.0,,
CCAA,1048,BANGKOK_THAWI WATTHANA,,,,,,,51.0,,
CCAA,1049,BANGKOK_THUNG KHRU,,,,86.0,,,110.0,,
CCAA,1050,BANGKOK_BANG BON,,,,271.0,,,74.0,,
